"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.809999812E-4,-2.507735138E0,7.396419067E0,6.535110168E0,1.018348739E1
1.013399998E-2,-2.248324585E0,7.189249878E0,5.550457764E0,9.356701269E0
2.008699998E-2,-1.634451141E0,7.480544128E0,5.119653625E0,9.210907894E0
3.004099999E-2,-1.208137665E0,7.638316040E0,5.889652405E0,9.720672507E0
3.999399999E-2,-9.196875000E-1,7.889493713E0,6.497687988E0,1.026206048E1
4.994800000E-2,-1.109492798E0,8.263116760E0,6.988068237E0,1.087856473E1
5.990100000E-2,-1.737287292E0,8.451125793E0,7.570207672E0,1.147814177E1
6.985500001E-2,-2.337988129E0,8.512049103E0,7.629334717E0,1.166738688E1
7.980800001E-2,-2.292782135E0,8.200846252E0,7.043752441E0,1.105102609E1
8.976200002E-2,-1.813478851E0,7.608827362E0,6.089636536E0,9.912952764E0
9.971500002E-2,-1.527423706E0,8.178093567E0,5.292993164E0,9.860528089E0
1.096690000E-1,-1.855391693E0,8.424930267E0,4.990172882E0,9.966130329E0
1.196220000E-1,-2.071242828E0,7.788603516E0,5.164709930E0,9.572179493E0
1.295750000E-1,-1.474882965E0,7.805518341E0,5.414241028E0,9.613292997E0
1.395289999E-1,-1.139729919E0,8.072413330E0,5.473966827E0,9.819732893E0
1.494819999E-1,-1.052611084E0,7.699239349E0,5.235512695E0,9.369998390E0
1.594359999E-1,-9.205856323E-1,7.662415924E0,5.249583435E0,9.333714263E0
1.693889999E-1,-5.730084229E-1,7.413483582E0,5.274731140E0,9.116516115E0
1.793429999E-1,2.148033142E-1,7.126230927E0,5.445376282E0,8.971144327E0
1.892959999E-1,1.193019104E0,6.748715973E0,5.818699951E0,8.990313175E0
1.992499999E-1,1.728455658E0,5.959706726E0,6.506070557E0,8.990807378E0
2.092029999E-1,2.021845551E0,5.347030792E0,6.618337097E0,8.745340683E0
2.191570000E-1,1.100062408E0,5.292693787E0,7.455097046E0,9.208757614E0
2.291100000E-1,8.837622070E-1,6.190826111E0,6.982080688E0,9.373196590E0
2.390630000E-1,3.101550293E-1,5.835165710E0,6.539301453E0,8.769710286E0
2.490170000E-1,8.563691711E-1,5.172044678E0,6.999145203E0,8.744795474E0
2.589700000E-1,2.126178589E0,5.732179871E0,5.104834442E0,7.964788518E0
2.689240000E-1,1.484163666E0,5.962850189E0,5.486241302E0,8.237546224E0
2.788770000E-1,-3.492237854E-1,5.507048035E0,5.984105988E0,8.139966817E0
2.888310000E-1,1.554517365E0,6.088588715E0,5.324427795E0,8.236320059E0
2.987840000E-1,1.497785339E0,6.502777405E0,5.765410767E0,8.818698102E0
3.087380000E-1,2.646496582E-1,6.564000092E0,6.377338257E0,9.155685659E0
3.186910000E-1,-4.954696655E-1,7.261848907E0,6.722071381E0,9.907884910E0
3.286450000E-1,-1.572779388E0,7.567812653E0,7.299869843E0,1.063172249E1
3.385985000E-1,-1.650467834E0,6.755601654E0,7.884404297E0,1.051313602E1
3.485515000E-1,-1.237177277E0,6.496490479E0,8.189769287E0,1.052650546E1
3.585055000E-1,-8.608598328E-1,6.277944946E0,8.582552490E0,1.066835881E1
3.684585000E-1,-4.872367859E-1,5.878874817E0,8.982820129E0,1.074660999E1
3.784125000E-1,-2.710862732E-1,5.928122406E0,9.379046173E0,1.109876706E1
