"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.727875020E-3,-4.100123749E0,7.247179413E0,5.283263397E0,9.861313113E0
1.267841668E-2,-3.516936493E0,6.799161072E0,5.427713013E0,9.383895893E0
2.263141668E-2,-3.415746918E0,7.316934357E0,5.139262848E0,9.571670596E0
3.258441668E-2,-3.793411560E0,7.926466827E0,4.528981934E0,9.885875024E0
4.253641667E-2,-3.742816772E0,8.055498505E0,4.769980774E0,1.008228397E1
5.248941667E-2,-3.878584442E0,8.091573486E0,5.094505920E0,1.031847708E1
6.244241667E-2,-4.366270294E0,8.255632324E0,5.014871521E0,1.060041121E1
7.239441667E-2,-4.565505981E0,8.099806366E0,4.904251556E0,1.051201177E1
8.234741667E-2,-4.461771698E0,7.615114288E0,4.793930969E0,1.004386113E1
9.229941666E-2,-4.358187103E0,7.263196106E0,4.694986725E0,9.684560540E0
1.022524167E-1,-4.379891968E0,7.219337311E0,4.695735168E0,9.661894929E0
1.122054167E-1,-4.156855774E0,7.136110382E0,5.129832458E0,9.722072946E0
1.221574167E-1,-3.865112457E0,7.114106140E0,5.989045715E0,1.007066378E1
1.321104167E-1,-3.512296143E0,7.250622253E0,6.343209229E0,1.025397731E1
1.420634167E-1,-3.182980957E0,7.115603027E0,6.217919769E0,9.971243677E0
1.520154167E-1,-2.984942780E0,6.799161072E0,6.206244049E0,9.677599903E0
1.619684167E-1,-2.845881958E0,6.440656586E0,6.018384705E0,9.262939913E0
1.719214167E-1,-3.271596680E0,4.589905243E0,6.311774597E0,8.462214458E0
1.818734166E-1,-1.130299530E0,5.442083130E0,7.514673157E0,9.346879612E0
1.918264166E-1,3.370989990E-1,7.733069000E0,6.215674438E0,9.927164783E0
2.017784166E-1,-5.307962036E-1,4.479135590E0,5.632786560E0,7.216140566E0
2.117314166E-1,6.906637573E-1,5.015919342E0,6.887327728E0,8.548201361E0
2.216844166E-1,1.128203888E0,6.002667389E0,6.590345306E0,8.985405447E0
2.316364166E-1,1.471889191E0,4.319268036E0,6.783294067E0,8.175305044E0
2.415894166E-1,2.605631561E0,3.157533875E0,6.299649811E0,7.512983678E0
2.515424166E-1,2.162552948E0,3.388802948E0,7.657176819E0,8.648293329E0
2.614944166E-1,2.424957275E-2,5.473068695E0,6.418502655E0,8.435179033E0
2.714474166E-1,-2.927612000E0,5.120851135E0,6.624773712E0,8.870268040E0
2.814004166E-1,-3.216960297E0,4.361929321E0,7.275769958E0,9.072601030E0
2.913524166E-1,-2.510728912E0,4.252955933E0,7.714357910E0,9.159842346E0
3.013054166E-1,-2.043251038E0,4.928052063E0,8.831634521E0,1.031786510E1
3.112574167E-1,-1.092128906E0,6.283782806E0,9.530680847E0,1.146789210E1
3.212104167E-1,2.737806702E-1,7.065157928E0,1.041070084E1,1.258467736E1
