"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.012041678E-3,-8.765682314E-1,8.382451415E-2,-5.472993851E-3,8.805841057E-1
1.296404167E-2,-3.134867728E-2,8.447969466E-1,6.894685864E-2,8.481852922E-1
2.291704167E-2,4.488542005E-1,4.687303483E-1,2.551736605E-1,6.973462768E-1
3.286904166E-2,8.916068316E-2,3.050907558E-1,1.726758796E-1,3.617277375E-1
4.282104166E-2,-2.213293916E-1,9.642760277E-1,-1.621234095E-1,1.002546237E0
5.277304165E-2,-9.654514642E-1,1.107512931E0,-2.043905926E-1,1.483393722E0
6.272604165E-2,-1.502472906E0,1.046973199E-1,-2.318134493E-1,1.523851645E0
7.267804164E-2,-1.111210564E0,-2.943587762E-1,2.736362439E-1,1.181656803E0
8.263004175E-2,-3.680640990E-1,-4.574803054E-2,7.140245533E-1,8.046086788E-1
9.258204175E-2,2.094285536E-1,7.403627515E-2,1.069622388E0,1.092443931E0
1.025350417E-1,4.986207300E-1,-2.388610983E-1,1.132972877E0,1.260676325E0
1.124870417E-1,6.485309140E-1,-5.253349042E-1,9.856516939E-1,1.291541083E0
1.224390417E-1,7.946394577E-1,-5.029435766E-1,7.539622056E-1,1.205347716E0
1.323920417E-1,8.598250218E-1,-3.711847579E-1,3.772044665E-1,1.009633796E0
1.423440417E-1,9.094501948E-1,-3.017824012E-1,-7.413684726E-2,9.610767642E-1
1.522960417E-1,9.511450817E-1,-3.226604694E-1,-4.002378184E-1,1.081192423E0
1.622480417E-1,1.069812423E0,-3.520719641E-1,-6.399151880E-1,1.295355062E0
1.722010417E-1,1.300444881E0,-3.506481671E-1,-7.432805121E-1,1.538368274E0
1.821530417E-1,1.500146737E0,-3.917365515E-1,-7.153682435E-1,1.707527301E0
1.921050417E-1,1.699409029E0,-4.116106528E-1,-7.259996510E-1,1.893274907E0
2.020570417E-1,1.762306359E0,-4.667879033E-1,-6.624825168E-1,1.939715890E0
2.120100417E-1,1.516809840E0,-8.401261908E-1,-1.035545985E0,2.019623627E0
2.219620417E-1,1.090432629E-3,-2.142088863E0,-6.780899048E-2,2.143162137E0
2.319140417E-1,3.707977600E0,6.667404592E-2,-1.768426055E-1,3.712790947E0
2.418660417E-1,3.229424514E0,2.111815488E-1,2.676288146E-1,3.247369015E0
2.518190417E-1,2.823630964E0,-9.806254274E-1,1.254080992E0,3.241486878E0
2.617710417E-1,2.701737275E0,-6.174431688E-1,1.224995188E0,3.030055045E0
2.717230417E-1,1.435852801E0,-5.128855973E-1,1.571845003E0,2.189845112E0
2.816760417E-1,-1.582481673E-1,-2.242261022E-1,1.871275070E0,1.891293265E0
2.916280417E-1,-1.202626956E0,4.267970413E-1,1.665457757E0,2.098146051E0
3.015800416E-1,-1.074899866E0,3.155028927E-1,1.584257473E0,1.940315319E0
3.115320418E-1,6.106589368E-1,-2.682743472E-1,1.716647791E0,1.841671822E0
3.214850418E-1,1.515441153E0,-4.931816500E-1,1.881147509E0,2.465462630E0
3.314370418E-1,6.771277454E-1,4.924121565E-1,1.598103679E0,1.804136105E0
3.413890417E-1,-8.506446008E-1,1.800487508E0,1.711830270E0,2.625969226E0
3.513410417E-1,-1.277706375E0,1.199507174E0,2.378245039E0,2.954217410E0
3.612940417E-1,1.703312923E-1,1.425455866E0,1.865513223E-1,1.447666596E0
3.712460417E-1,2.564208716E0,2.052637573E0,-2.441102023E0,4.092366849E0
3.811980417E-1,3.419568073E0,3.034913669E0,-1.192060161E0,4.724950181E0
3.911500417E-1,2.555716805E0,4.290350631E0,-1.842112666E-1,4.997272327E0
4.011030417E-1,2.305411098E0,4.805107922E0,4.566850841E-1,5.349069427E0
4.110550417E-1,2.475087794E0,4.290821916E0,1.589163287E0,5.202177646E0
4.210070417E-1,2.886497887E0,3.459193484E0,3.179982505E0,5.514542442E0
4.309600417E-1,3.390542495E0,2.518446068E0,4.857040552E0,6.436551245E0
4.409120417E-1,3.693786407E0,1.760243461E0,5.877136440E0,7.161232282E0
4.508640417E-1,3.444691512E0,1.057301136E0,5.668659228E0,6.716954872E0
4.608160417E-1,2.346454020E0,4.846593332E-1,4.384883736E0,4.996793623E0
4.707690417E-1,1.128035780E0,-3.909816760E-1,2.703148500E0,2.955053842E0
4.807210417E-1,4.431224674E-2,-1.533269168E0,1.401488714E0,2.077750835E0
4.906730417E-1,-8.207186973E-1,-2.814829735E0,4.676065135E-1,2.969091017E0
5.006250417E-1,-1.391250532E0,-3.969691079E0,-1.526655382E-1,4.209196131E0
