Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,404,211,232
8,292,165,181
12,218,131,144
16,168,117,123
20,141,116,117
24,129,110,112
28,119,99,103
32,108,99,99
36,105,107,104
40,108,107,105
44,107,101,101
48,103,98,98
52,101,107,103
56,106,111,108
60,109,104,105
64,106,100,101
68,104,107,105
72,108,112,109
76,110,104,105
80,106,99,99
84,103,104,102
88,104,108,105
92,108,103,103
96,105,95,96
100,100,97,96
104,100,104,101
108,104,99,100
112,102,92,94
116,97,94,93
120,98,103,99
124,102,100,100
128,101,94,95
132,97,94,93
136,97,103,100
140,102,105,104
144,105,100,100
148,101,98,98
152,101,107,104
156,106,110,108
160,109,103,104
164,105,100,101
168,104,108,105
172,107,111,109
176,110,105,106
180,107,98,100
184,103,104,101
188,105,108,105
192,108,102,102
196,104,94,96
200,99,98,96
204,101,104,101
208,104,98,99
212,101,91,93
216,96,93,92
220,96,101,98
224,101,101,100
228,101,94,95
232,97,95,94
236,98,105,101
240,103,105,104
244,105,98,100
248,101,99,98
252,102,109,105
256,106,111,108
260,109,104,105
264,106,100,101
268,104,108,105
272,108,111,109
276,110,104,105
280,106,99,100
284,103,104,102
288,106,108,105
292,108,100,101
296,103,94,95
300,98,97,95
304,100,103,100
308,103,99,99
312,101,92,93
316,96,95,93
320,98,102,99
324,102,100,99
328,101,93,94
332,97,96,95
336,99,105,102
340,104,104,103
344,104,99,99
348,101,98,98
352,101,107,103
356,106,110,108
360,108,103,104
364,105,100,100
368,104,108,105
372,108,111,109
376,110,102,104
380,106,98,99
384,102,103,101
388,104,107,105
392,107,101,102
396,104,94,96
400,99,98,97
404,101,104,101
408,104,98,99
412,101,91,93
416,96,96,94
420,98,103,100
424,102,99,99
428,100,93,94
432,96,95,94
436,98,105,101
440,103,105,103
444,104,98,99
448,101,99,98
452,101,108,104
456,107,109,107
460,108,102,103
464,104,102,100
468,104,110,106
472,107,111,109
476,110,103,105
480,106,98,99
484,103,104,102
488,105,108,105
492,107,100,101
496,103,94,95
500,99,99,97
504,101,104,101
508,104,97,98
512,100,91,92
516,95,94,93
520,97,102,99
524,101,100,99
528,101,93,94
532,97,97,95
536,99,106,102
540,104,104,103
544,104,97,99
548,101,100,99
552,102,110,106
556,107,110,109
560,109,103,104
564,105,100,100
568,104,108,105
572,108,111,108
576,110,102,104
580,105,98,99
584,103,105,103
588,106,107,106
592,107,99,100
596,102,94,95
600,98,97,96
604,100,104,101
608,103,98,98
612,100,91,93
616,96,96,94
620,98,103,100
624,102,99,99
628,101,93,94
632,97,98,96
636,99,106,102
640,104,105,104
644,105,98,99
648,101,100,98
652,102,109,105
656,107,109,107
660,108,102,103
664,104,101,101
668,104,110,106
672,109,110,108
676,109,101,103
680,105,99,99
684,102,104,102
688,105,108,105
692,107,100,101
696,103,93,95
700,99,100,97
704,101,104,102
708,104,97,98
712,100,91,93
716,97,97,95
720,99,103,100
724,102,98,98
728,100,93,93
732,96,96,94
736,98,105,102
740,104,104,103
744,104,98,99
748,101,101,99
752,103,110,105
756,108,109,107
760,108,101,102
764,104,102,101
768,103,108,105
772,108,111,108
776,109,102,104
780,105,98,99
784,102,105,102
788,106,107,105
792,107,99,100
796,102,94,95
800,99,101,98
804,102,104,101
808,104,96,97
812,99,90,92
816,95,96,93
820,98,102,100
824,102,99,98
828,100,93,94
832,97,98,96
836,99,106,103
840,104,104,103
844,104,97,98
848,100,102,100
852,103,110,106
856,107,109,108
860,108,102,103
864,104,102,101
868,104,110,106
872,109,110,108
876,110,101,103
880,105,99,99
884,103,106,103
888,107,106,105
892,107,98,99
896,101,93,94
900,98,100,97
904,101,103,101
908,103,97,97
912,100,91,92
916,96,97,95
920,99,104,100
924,102,98,98
928,100,93,94
932,97,99,97
936,100,107,103
940,104,104,103
944,104,98,99
948,101,100,99
952,102,110,106
956,108,109,107
960,108,101,102
964,104,102,101
968,104,110,107
972,109,109,108
976,109,100,102
980,104,100,99
984,102,105,102
988,106,107,105
992,107,98,100
996,102,94,95
1000,99,101,98
1004,102,104,101
1008,104,96,97
1012,99,91,92
1016,96,99,96
1020,100,103,100
1024,102,99,99
1028,100,93,94
1032,97,98,96
1036,100,106,103
1040,104,103,103
1044,104,97,98
1048,100,102,100
1052,103,110,106
1056,108,108,107
1060,108,101,102
1064,104,104,102
1068,104,110,106
1072,109,109,108
1076,110,101,103
1080,105,99,99
1084,103,106,103
1088,107,106,105
1092,107,98,99
1096,102,95,95
1100,99,102,99
1104,103,103,101
1108,104,94,96
1112,98,91,92
1116,95,97,95
1120,99,103,100
1124,102,98,98
1128,100,93,94
1132,97,100,97
1136,100,106,103
1140,105,102,102
1144,103,97,98
1148,100,103,101
1152,103,110,106
1156,108,108,108
1160,108,101,102
1164,104,102,101
1168,105,110,107
1172,109,109,108
1176,109,100,102
1180,104,100,100
1184,104,107,104
1188,107,106,105
1192,106,96,98
1196,100,93,94
1200,98,100,97
1204,101,103,101
1208,103,95,97
1212,99,91,92
1216,96,99,96
1220,100,103,100
1224,102,97,97
1228,99,93,93
1232,97,101,98
1236,101,106,103
1240,104,103,102
1244,103,97,98
1248,100,102,100
1252,103,110,107
1256,108,107,106
1260,107,100,101
1264,103,104,102
1268,105,111,108
1272,110,108,107
1276,108,99,101
1280,103,99,98
1284,102,106,103
1288,106,106,104
1292,106,97,99
1296,101,95,95
1300,99,101,99
1304,102,103,101
1308,103,94,96
1312,98,92,92
1316,96,100,97
1320,100,102,101
1324,102,97,98
1328,99,92,93
1332,96,100,97
1336,100,106,103
1340,105,102,102
1344,103,97,98
1348,100,103,101
1352,104,110,107
1356,108,106,106
1360,107,100,101
1364,103,105,103
1368,105,111,108
1372,110,109,108
1376,109,100,102
1380,104,100,99
1384,103,107,104
1388,107,105,104
1392,106,96,98
1396,101,95,95
1400,100,103,100
1404,104,102,101
1408,103,95,96
1412,98,91,92
1416,96,99,96
1420,100,103,101
1424,103,96,97
1428,99,93,93
1432,97,101,98
1436,102,107,104
1440,105,101,101
1444,103,97,98
1448,100,105,102
1452,104,111,107
1456,109,107,107
1460,108,100,102
1464,104,104,102
1468,105,111,108
1472,110,107,107
1476,108,99,101
1480,103,101,100
1484,104,107,105
1488,107,104,104
1492,106,95,98
1496,100,94,94
1500,98,101,98
1504,102,102,101
1508,103,94,96
1512,98,91,92
1516,96,100,97
1520,100,103,101
1524,103,96,97
1528,99,93,93
1532,97,103,99
1536,101,106,103
1540,105,102,102
1544,103,97,98
1548,100,104,101
1552,104,111,107
1556,108,106,106
1560,107,100,101
1564,103,105,103
1568,106,112,108
1572,110,106,107
1576,108,98,100
1580,102,100,99
1584,102,107,104
1588,107,105,104
1592,106,96,97
1596,100,95,95
1600,99,102,99
1604,103,101,101
1608,103,93,95
1612,98,93,92
1616,97,101,98
1620,101,102,100
1624,101,96,96
1628,98,93,93
1632,96,101,98
1636,101,106,103
1640,105,101,101
1644,102,97,98
1648,100,105,102
1652,105,111,108
1656,109,105,105
1660,106,100,100
1664,103,103,101
1668,104,110,107
1672,109,107,107
1676,108,99,101
1680,103,101,100
1684,104,108,105
1688,107,104,104
1692,106,95,97
1696,100,96,95
1700,100,103,100
1704,103,101,100
1708,102,94,95
1712,97,91,92
1716,96,100,96
1720,100,103,100
1724,102,96,97
1728,98,94,93
1732,97,103,99
1736,102,106,104
1740,105,100,101
1744,102,98,98
1748,101,106,103
1752,104,111,108
1756,109,106,106
1760,107,100,101
1764,103,105,103
1768,106,111,108
1772,110,106,106
1776,107,99,100
1780,103,102,101
1784,104,108,105
1788,108,103,103
1792,104,95,97
1796,99,95,95
1800,99,102,100
1804,103,101,100
1808,103,93,95
1812,98,93,92
1816,97,101,98
1820,101,102,100
1824,102,94,96
1828,98,94,94
1832,98,104,100
1836,102,107,104
1840,106,101,102
1844,103,98,98
1848,101,105,102
1852,105,111,108
1856,109,105,105
1860,106,100,101
1864,103,106,104
1868,107,111,109
1872,110,105,106
1876,107,98,100
1880,102,101,100
1884,103,108,104
1888,107,103,103
1892,105,95,97
1896,100,96,95
1900,100,103,100
1904,103,101,100
1908,102,92,94
1912,97,94,93
1916,97,102,99
1920,101,103,101
1924,103,96,97
1928,99,93,94
1932,97,103,99
1936,102,106,104
1940,105,100,101
1944,102,98,98
1948,101,107,103
1952,106,111,108
1956,109,104,105
1960,106,100,101
1964,102,105,102
1968,106,111,108
1972,110,106,106
1976,107,98,100
1980,103,102,100
1984,104,108,105
1988,107,102,103
1992,105,94,96
1996,99,97,96
2000,100,103,101
