Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,406,201,226
8,282,154,171
12,210,143,149
16,174,122,129
20,145,92,102
24,115,82,87
28,101,94,91
32,101,91,92
36,97,74,79
40,84,72,74
44,80,88,82
48,88,99,94
52,96,90,91
56,92,86,86
60,89,105,98
64,101,120,113
68,112,112,112
72,110,106,107
76,107,122,116
80,118,135,128
84,128,124,124
88,123,111,114
92,115,115,113
96,117,128,123
100,125,118,120
104,120,97,104
108,107,96,97
112,104,108,104
116,109,98,100
120,103,76,83
124,89,76,77
128,84,86,83
132,90,90,88
136,91,74,78
140,82,70,72
144,78,89,83
148,88,99,94
152,95,88,90
156,90,86,86
160,89,108,100
164,102,121,114
168,112,110,111
172,109,105,106
176,106,119,114
180,115,135,126
184,126,125,125
188,123,110,114
192,115,118,115
196,119,128,124
200,126,116,118
204,119,97,102
208,106,98,98
212,105,107,104
216,108,100,101
220,104,78,85
224,90,74,77
228,85,89,85
232,91,88,88
236,91,72,77
240,81,72,73
244,79,91,85
248,90,98,94
252,95,87,89
256,89,85,85
260,87,105,97
264,100,120,113
268,111,112,112
272,110,107,107
276,107,122,116
280,118,135,128
284,127,123,125
288,122,110,114
292,115,119,116
296,120,128,125
300,125,118,120
304,120,97,103
308,107,96,97
312,104,107,103
316,109,98,99
320,102,75,83
324,89,75,77
328,85,90,86
332,92,87,87
336,90,70,75
340,80,74,73
344,78,89,83
348,88,99,94
352,95,88,90
356,90,86,86
360,90,108,100
364,102,121,114
368,112,111,111
372,109,107,107
376,108,125,118
380,120,135,129
384,128,126,126
388,124,110,114
392,116,118,116
396,119,129,124
400,126,116,118
404,119,97,102
408,106,98,98
412,105,107,104
416,109,95,98
420,101,75,81
424,87,77,78
428,84,89,85
432,91,88,88
436,91,72,77
440,81,72,72
444,79,91,85
448,90,98,94
452,95,86,89
456,89,89,88
460,91,110,103
464,104,120,115
468,113,110,111
472,109,106,106
476,107,122,116
480,117,134,128
484,127,123,124
488,122,111,114
492,115,120,117
496,120,128,125
500,126,112,116
504,117,95,100
508,105,99,99
512,104,107,104
516,109,97,99
520,103,76,83
524,89,76,77
528,86,91,86
532,92,86,87
536,90,71,75
540,80,74,73
544,80,95,87
548,91,97,94
552,94,85,88
556,88,86,85
560,88,108,100
564,102,121,114
568,112,110,111
572,109,106,106
576,108,125,118
580,119,134,129
584,128,121,123
588,121,110,113
592,115,122,118
596,121,128,124
600,125,115,117
604,118,96,101
608,105,97,97
612,104,107,104
616,108,95,98
620,101,75,82
624,87,78,78
628,86,91,88
632,93,84,86
636,89,69,74
640,78,71,71
644,77,91,84
648,88,98,94
652,94,87,89
656,89,89,88
660,91,110,102
664,104,121,115
668,113,109,111
672,108,107,107
676,109,127,119
680,121,134,130
684,128,123,125
688,123,111,114
692,115,120,116
696,120,128,124
700,126,112,116
704,117,95,100
708,105,99,98
712,105,107,102
716,107,91,95
720,98,72,79
724,85,79,78
728,84,90,86
732,92,86,87
736,89,70,75
740,79,73,73
744,80,94,87
748,91,97,94
752,94,85,87
756,88,91,88
760,92,114,105
764,106,120,115
768,112,110,111
772,109,106,106
776,108,125,118
780,119,135,129
784,128,121,123
788,121,110,113
792,115,122,117
796,121,128,124
800,125,109,113
804,114,94,98
808,104,100,99
812,104,107,104
816,108,94,97
820,100,75,81
824,87,78,78
828,86,91,87
832,92,85,86
836,88,69,74
840,79,76,75
844,81,96,89
848,92,96,94
852,94,84,87
856,88,88,87
860,90,110,102
864,104,120,114
868,112,109,111
872,108,108,107
876,109,127,120
880,121,135,130
884,128,119,121
888,120,110,112
892,115,123,118
896,120,128,125
900,126,112,116
904,117,94,100
908,105,99,98
912,105,106,102
916,107,91,95
920,98,72,79
924,85,79,78
928,86,91,87
932,92,82,84
936,87,70,73
940,77,73,73
944,79,94,87
948,90,97,94
952,94,85,87
956,88,91,89
960,92,114,105
964,106,120,115
968,112,108,110
972,108,110,109
976,110,129,122
980,123,133,129
984,128,121,123
988,121,110,113
992,115,121,117
996,121,127,124
1000,125,109,113
1004,115,94,99
1008,104,100,99
1012,106,105,103
1016,108,89,93
1020,96,73,78
1024,84,76,76
1028,84,90,86
1032,91,84,85
1036,87,69,74
1040,78,76,75
1044,81,96,89
1048,92,96,94
1052,94,84,87
1056,88,94,90
1060,94,117,108
1064,108,119,115
1068,113,110,111
1072,109,108,107
1076,109,127,120
1080,121,135,129
1084,128,119,121
1088,120,110,112
1092,115,123,119
1096,122,126,124
1100,125,106,112
1104,113,93,97
1108,103,103,100
1112,105,105,103
1116,107,91,95
1120,98,72,79
1124,85,79,78
1128,86,92,88
1132,92,82,84
1136,87,69,73
1140,78,79,76
1144,83,98,91
1148,94,95,94
1152,94,85,87
1156,88,91,88
1160,91,114,105
1164,106,120,115
1168,113,108,109
1172,108,110,108
1176,110,130,122
1180,123,133,130
1184,128,117,120
1188,119,111,112
1192,116,125,120
1196,122,128,125
1200,126,109,113
1204,115,93,98
1208,104,101,99
1212,106,106,103
1216,108,88,93
1220,96,72,78
1224,85,81,79
1228,88,93,89
1232,93,79,83
1236,86,68,72
1240,77,76,73
1244,80,96,89
1248,92,96,94
1252,93,83,87
1256,88,94,90
1260,94,118,109
1264,109,119,116
1268,113,107,108
1272,107,112,109
1276,111,132,124
1280,123,136,132
1284,129,119,122
1288,121,110,112
1292,116,124,119
1296,123,128,125
1300,126,106,112
1304,113,92,97
1308,103,103,100
1312,107,106,104
1316,107,85,91
1320,94,71,76
1324,83,79,77
1328,85,92,87
1332,92,82,84
1336,87,68,72
1340,77,79,76
1344,82,98,91
1348,94,95,94
1352,93,84,87
1356,88,96,92
1360,96,118,110
1364,110,118,115
1368,113,108,109
1372,107,110,108
1376,110,130,122
1380,123,133,130
1384,128,116,119
1388,118,111,112
1392,116,125,120
1396,123,125,123
1400,124,104,109
1404,111,92,96
1408,101,100,98
1412,105,105,103
1416,107,88,93
1420,96,72,78
1424,85,82,79
1428,88,93,89
1432,93,79,83
1436,86,68,72
1440,78,82,78
1444,85,98,91
1448,94,93,93
1452,92,83,86
1456,87,93,90
1460,93,118,108
1464,108,119,116
1468,113,106,108
1472,107,112,109
1476,111,132,124
1480,124,131,129
1484,126,114,117
1488,117,112,112
1492,116,127,122
1496,123,127,125
1500,125,106,111
1504,113,92,97
1508,103,103,100
1512,106,105,104
1516,107,85,91
1520,94,71,77
1524,84,84,81
1528,89,92,89
1532,93,77,81
1536,85,68,70
1540,75,78,75
1544,81,98,91
1548,93,94,94
1552,93,84,87
1556,88,97,93
1560,96,119,111
1564,110,118,116
1568,113,106,108
1572,107,115,111
1576,113,134,126
1580,125,134,131
1584,129,117,120
1588,119,111,112
1592,116,125,120
1596,124,125,123
1600,124,103,109
1604,111,92,96
1608,102,104,100
1612,107,104,103
1616,106,82,89
1620,93,72,76
1624,83,81,78
1628,86,93,88
1632,92,79,82
1636,85,68,72
1640,77,82,78
1644,84,96,91
1648,94,93,93
1652,92,83,86
1656,88,100,94
1660,98,120,112
1664,110,120,117
1668,114,107,109
1672,108,112,109
1676,112,132,124
1680,125,132,129
1684,127,113,117
1688,117,112,112
1692,116,127,121
1696,124,123,122
1700,122,100,106
1704,108,93,96
1708,101,102,99
1712,105,105,103
1716,106,84,90
1720,94,71,76
1724,84,84,81
1728,89,92,89
1732,92,77,81
1736,84,68,71
1740,77,85,80
1744,85,99,93
1748,95,91,92
1752,92,84,86
1756,87,97,92
1760,96,119,110
1764,110,118,115
1768,112,106,108
1772,107,115,111
1776,113,134,126
1780,126,130,128
1784,126,112,116
1788,116,114,113
1792,115,125,120
1796,123,125,123
1800,123,103,109
1804,110,92,96
1808,103,103,100
1812,107,104,103
1816,106,82,89
1820,92,71,76
1824,84,86,82
1828,90,91,89
1832,92,75,80
1836,83,67,70
1840,76,82,77
1844,83,97,92
1848,94,93,93
1852,92,84,86
1856,88,101,95
1860,98,120,112
1864,111,116,115
1868,112,106,107
1872,107,117,113
1876,115,135,128
1880,126,132,130
1884,128,114,118
1888,118,112,112
1892,116,127,122
1896,125,123,122
1900,122,100,106
1904,109,93,96
1908,102,105,101
1912,108,101,102
1916,105,80,86
1920,91,70,74
1924,81,83,80
1928,87,92,88
1932,91,77,80
1936,83,68,71
1940,77,85,80
1944,86,99,94
1948,95,91,92
1952,92,85,87
1956,89,104,97
1960,100,123,114
1964,112,118,117
1968,114,106,108
1972,108,115,111
1976,114,134,126
1980,126,130,128
1984,126,112,116
1988,116,114,113
1992,117,129,123
1996,125,120,121
2000,121,97,103
