Times (us),interval (us),strain (raw),sensorValue0 (raw)
65800,65800,2260548,426
78304,12504,2261258,422
90808,12504,2262654,421
103308,12500,2262691,421
115812,12504,2261091,420
128312,12500,2260616,418
140816,12504,2264899,418
153316,12500,2269674,417
165816,12500,2266164,416
178316,12500,2259155,415
190816,12500,2260384,415
203316,12500,2262424,414
215820,12504,2265733,413
228320,12500,2270931,412
240820,12500,2275232,412
253324,12504,2271730,411
265824,12500,2260235,410
278328,12504,2257380,409
290828,12500,2268591,409
303328,12500,2269572,408
315828,12500,2259498,408
328332,12504,2252944,407
340832,12500,2259548,406
353332,12500,2269547,406
365832,12500,2268967,405
378332,12500,2258605,404
390836,12504,2260072,403
403336,12500,2270123,403
415836,12500,2268753,402
428336,12500,2257882,401
440836,12500,2253075,401
453336,12500,2261413,400
465836,12500,2270914,400
478340,12504,2268175,399
490844,12504,2253545,398
503344,12500,2263309,398
515844,12500,2272953,397
528344,12500,2270219,396
540844,12500,2263041,396
553344,12500,2264070,395
565844,12500,2270426,395
578348,12504,2271187,394
590856,12508,2265624,393
603360,12504,2261604,393
615860,12500,2263858,392
628360,12500,2262772,391
640860,12500,2254025,391
653360,12500,2243471,390
665864,12504,2240370,390
678368,12504,2238987,389
690868,12500,2235484,388
703368,12500,2230464,388
715868,12500,2230817,387
728368,12500,2233299,387
740872,12504,2238196,386
753372,12500,2246760,386
765872,12500,2258514,385
778376,12504,2267775,384
790876,12500,2273325,384
803376,12500,2277392,383
815876,12500,2285701,383
828376,12500,2289110,382
840876,12500,2291199,381
853376,12500,2291068,381
865876,12500,2288153,381
878376,12500,2284089,380
890876,12500,2280501,379
903380,12504,2277253,379
915884,12504,2272710,378
928388,12504,2273568,378
940888,12500,2275253,377
953388,12500,2275015,377
965888,12500,2273152,376
978388,12500,2272476,375
990888,12500,2273582,375
1003388,12500,2275080,374
1015888,12500,2277442,374
1028388,12500,2280854,373
1040892,12504,2285894,373
1053392,12500,2290529,372
1065896,12504,2293272,372
1078396,12500,2295566,371
1090900,12504,2299909,371
1103400,12500,2305528,370
1115900,12500,2310084,370
1128404,12504,2315625,369
1140904,12500,2318441,369
1153404,12500,2321862,368
1165908,12504,2325818,368
1178408,12500,2331369,367
1190908,12500,2340817,367
1203412,12504,2353832,366
1215912,12500,2367515,366
1228412,12500,2388265,365
1240916,12504,2399545,365
1253420,12504,2413903,364
1265924,12504,2431862,364
1278424,12500,2456708,363
1290924,12500,2492219,363
1303424,12500,2534204,362
1315924,12500,2575181,362
1328424,12500,2613415,361
1340924,12500,2688430,361
1353424,12500,2726113,360
1365924,12500,2766179,360
1378424,12500,2811634,359
1390924,12500,2865086,359
1403428,12504,2923033,359
1415932,12504,2981777,358
1428432,12500,3038632,358
1440932,12500,3143708,357
1453432,12500,3198058,357
1465932,12500,3256250,357
1478432,12500,3312704,356
1490936,12504,3361734,355
1503440,12504,3401850,355
1515944,12504,3432951,355
1528444,12500,3456058,354
1540944,12500,3477388,353
1553444,12500,3537172,353
1565944,12500,3578391,353
1578444,12500,3622736,352
1590944,12500,3667352,352
1603448,12504,3710058,351
1615948,12500,3750427,351
1628448,12500,3787759,351
1640952,12504,3821825,350
1653456,12504,3889126,350
1665956,12500,3925179,350
1678456,12500,3960934,349
1690956,12500,3994155,348
1703456,12500,4023135,348
1715956,12500,4049108,348
1728456,12500,4075975,347
1740956,12500,4108600,347
1753456,12500,4146756,346
1765960,12504,4213663,346
1778460,12500,4231063,346
1790960,12500,4234591,345
1803464,12504,4223248,345
1815964,12500,4196147,345
1828464,12500,4153883,344
1840964,12500,4098519,344
1853468,12504,4031804,343
1865968,12500,3868967,343
1878468,12500,3777699,343
1890968,12500,3679723,342
1903472,12504,3573098,342
1915976,12504,3458998,342
1928476,12500,3340634,342
1940976,12500,3221605,341
1953476,12500,3104338,341
1965976,12500,2992693,341
1978480,12504,2793420,340
1990980,12500,2702151,340
2003480,12500,2607547,339
2015980,12500,2512171,339
2028480,12500,2432689,339
2040980,12500,2378960,338
2053484,12504,2351237,338
2065984,12500,2342646,338
2078484,12500,2348698,337
2090988,12504,2348872,337
2103488,12500,2346455,337
2115988,12500,2347291,336
2128488,12500,2353220,336
2140992,12504,2361314,336
2153492,12500,2371149,335
2165996,12504,2383010,335
2178496,12500,-449123,335
2200932,22436,2406016,334
2213436,12504,2402103,334
2225936,12500,2402748,333
2238436,12500,2408720,333
2250940,12504,2417709,333
2263440,12500,2426033,333
2275940,12500,2430455,332
2288440,12500,2431504,332
2300940,12500,2430689,332
2313440,12500,2423306,332
2325944,12504,2416762,331
2338444,12500,2410402,331
2350948,12504,2406290,331
2363452,12504,2405807,330
2375956,12504,2408816,330
2388456,12500,2413731,329
2400960,12504,2418766,329
2413460,12500,2425002,329
2425960,12500,2428304,329
2438464,12504,2434438,328
2450968,12504,2444041,328
2463468,12500,2459463,328
2475968,12500,2482559,328
2488468,12500,2510039,327
2500972,12504,2536769,327
2513472,12500,2563016,327
2525972,12500,2627271,326
2538472,12500,2664483,326
2550972,12500,2703704,326
2563472,12500,2742668,326
2575972,12500,2776886,325
2588472,12500,2805644,325
2600972,12500,2831093,325
2613472,12500,2855400,325
2625972,12500,2911724,324
2638472,12500,2943629,324
2650972,12500,2976798,324
2663472,12500,3011750,324
2675972,12500,3049475,323
2688472,12500,3091427,323
2700972,12500,3139707,323
2713472,12500,3195655,323
2725976,12504,3256898,322
2738480,12504,3385974,322
2750980,12500,3450172,322
2763480,12500,3512746,322
2775980,12500,3573741,321
2788484,12504,3633404,321
2800988,12504,3691336,321
2813488,12500,3746550,321
2825988,12500,3797199,320
2838488,12500,3894788,320
2850988,12500,3949195,320
2863488,12500,4007134,320
2875988,12500,4065114,320
2888492,12504,4119783,319
2901000,12508,4170381,319
2913504,12504,4216375,319
2926004,12500,4257856,319
2938504,12500,4295702,318
2951004,12500,4353865,318
2963504,12500,4374746,318
2976004,12500,4391624,318
2988504,12500,4404311,317
3001004,12500,4413116,317
3013508,12504,4418393,317
3026008,12500,4420985,317
3038508,12500,4422973,316
3051012,12504,4425151,316
3063512,12500,4419417,316
3076012,12500,4404765,316
3088512,12500,4377557,315
3101012,12500,4334399,315
3113512,12500,4273598,315
3126016,12504,4195590,315
3138516,12500,4103234,314
3151020,12504,3998482,314
3163520,12500,3763292,314
3176020,12500,3635881,314
3188520,12500,3505228,314
3201028,12508,3373736,314
3213528,12500,3244068,314
3226028,12500,3117779,314
3238528,12500,2997304,313
3251028,12500,2886648,313
3263528,12500,2700876,313
3276028,12500,2622082,313
3288528,12500,2550475,312
3301028,12500,2488759,312
3313532,12504,2439267,312
3326036,12504,2397521,312
3338536,12500,2358109,312
3351036,12500,2321383,311
3363536,12500,2282422,312
3376036,12500,2279453,311
3388540,12504,2282708,311
3401040,12500,2291679,311
3413540,12500,2301824,311
3426044,12504,2306050,311
3438548,12504,2303431,310
3451048,12500,2303361,310
3463552,12504,2315747,310
3476052,12500,2357384,310
3488552,12500,2371681,310
3501052,12500,2381339,309
3513552,12500,2387919,309
3526052,12500,2390577,309
3538552,12500,2387664,309
3551056,12504,2379923,309
3563556,12500,2369348,309
3576060,12504,2347992,309
3588564,12504,2341375,308
3601064,12500,2338518,308
3613564,12500,2339049,308
3626064,12500,2341948,308
3638568,12504,2345567,308
3651068,12500,2349209,308
3663572,12504,2352397,308
3676072,12500,2354834,308
3688576,12504,2356478,307
3701076,12500,2357377,307
3713576,12500,2358851,307
3726076,12500,2360777,307
3738580,12504,2363428,307
3751080,12500,2366760,307
3763580,12500,2370067,307
3776084,12504,2373372,307
3788584,12500,2379898,306
3801084,12500,2382986,306
3813584,12500,2387246,306
3826088,12504,2393282,306
3838588,12500,2400809,306
3851088,12500,2409358,305
3863588,12500,2418340,306
3876092,12504,2428303,306
3888592,12500,2441362,305
3901092,12500,2478008,305
3913592,12500,2503141,305
