Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,269,283,290
8,270,272,276
12,270,268,268
16,271,267,265
20,270,268,265
24,270,267,264
28,270,266,263
32,268,265,262
36,269,266,263
40,269,266,263
44,268,265,261
48,269,265,261
52,269,266,262
56,270,267,263
60,270,266,262
64,269,265,262
68,269,266,263
72,269,266,263
76,269,266,262
80,270,265,262
84,269,266,263
88,270,267,263
92,269,266,263
96,270,266,263
100,269,266,263
104,270,267,263
108,269,266,263
112,269,266,262
116,268,265,262
120,269,267,263
124,269,266,263
128,269,266,262
132,269,265,262
136,269,266,263
140,269,266,263
144,270,266,262
148,269,265,262
152,270,266,263
156,269,266,263
160,269,266,262
164,269,265,262
168,269,266,262
172,269,266,263
176,269,266,262
180,269,265,261
184,269,266,262
188,269,266,263
192,269,266,262
196,270,266,262
200,269,267,263
204,269,267,264
208,269,266,263
212,270,266,262
216,270,266,262
220,269,267,263
224,269,266,263
228,269,265,262
232,269,265,262
236,269,266,263
240,269,266,263
244,269,265,262
248,269,265,262
252,269,266,263
256,270,267,263
260,269,266,262
264,270,266,262
268,269,266,262
272,269,266,263
276,269,266,262
280,269,265,261
284,269,266,262
288,269,266,263
292,269,265,262
296,269,265,261
300,269,266,262
304,270,267,263
308,270,267,264
312,270,267,263
316,270,267,263
320,270,267,264
324,270,267,263
328,269,265,262
332,268,265,261
336,268,265,262
340,268,265,262
344,268,265,261
348,269,265,261
352,270,266,263
356,270,267,263
360,270,266,263
364,271,266,263
368,270,267,263
372,270,267,264
376,269,266,263
380,269,265,262
384,269,266,262
388,269,266,263
392,268,265,262
396,268,265,261
400,269,266,262
404,269,266,263
408,270,267,263
412,270,266,262
416,270,267,263
420,270,267,264
424,270,267,263
428,270,266,262
432,269,266,262
436,269,266,263
440,269,266,262
444,268,265,261
448,269,265,261
452,269,266,262
456,269,266,262
460,270,266,262
464,271,266,262
468,270,267,264
472,270,267,264
476,270,266,263
480,270,266,262
484,270,266,263
488,269,266,263
492,269,265,262
496,268,265,261
500,268,265,262
504,269,266,262
508,269,266,262
512,269,265,261
516,270,266,262
520,270,267,263
524,270,266,263
528,270,266,262
532,269,266,262
536,269,266,263
540,269,266,263
544,269,265,262
548,269,265,261
552,269,266,263
556,269,267,263
560,269,266,262
564,270,266,262
568,270,267,263
572,270,267,264
576,270,266,263
580,270,266,262
584,269,266,263
588,269,266,263
592,269,265,262
596,269,265,261
600,269,265,262
604,268,266,262
608,269,266,262
612,269,266,262
616,270,266,263
620,270,267,264
624,270,267,263
628,270,266,263
632,270,267,263
636,269,267,264
640,269,266,263
644,268,265,261
648,268,265,261
652,268,265,262
656,268,266,262
660,269,265,261
664,269,265,261
668,269,266,262
672,270,267,263
676,270,266,262
680,270,266,262
684,270,266,263
688,269,267,263
692,269,266,263
696,269,265,262
700,269,266,262
704,269,267,263
708,270,266,263
712,269,265,262
716,270,267,263
720,270,268,264
724,269,266,263
728,268,265,262
732,269,265,262
736,268,265,262
740,269,266,262
744,268,264,261
748,270,265,262
752,269,266,263
756,270,267,263
760,270,266,262
764,270,266,262
768,269,267,263
772,270,267,263
776,269,266,262
780,269,265,262
784,268,266,262
788,268,266,262
792,268,265,262
796,269,265,261
800,269,266,262
804,270,267,263
808,269,266,262
812,270,266,262
816,270,267,263
820,270,267,264
824,269,266,263
828,269,266,262
832,268,266,262
836,268,266,263
840,268,265,262
844,269,265,261
848,269,266,262
852,270,267,263
856,270,267,263
860,270,266,262
864,270,267,263
868,269,267,263
872,269,267,264
876,268,265,262
880,268,265,261
884,268,265,262
888,269,266,262
892,269,266,262
896,269,265,261
900,269,266,262
904,270,267,263
908,270,267,263
912,270,266,263
916,270,266,263
920,270,267,263
924,269,266,263
928,269,265,262
932,269,266,262
936,269,266,263
940,268,265,262
944,269,265,261
948,269,265,261
952,269,266,263
956,269,267,263
960,270,266,262
964,270,266,262
968,270,268,264
972,270,267,264
976,270,266,263
980,270,266,262
984,269,266,263
988,269,266,263
992,269,265,262
996,268,265,261
1000,269,265,262
1004,269,266,262
1008,269,266,262
1012,269,265,262
1016,270,266,263
1020,270,267,263
1024,270,266,263
1028,270,266,262
1032,270,266,263
1036,269,267,264
1040,270,266,263
1044,269,265,262
1048,269,265,262
1052,269,266,263
1056,268,265,262
1060,269,265,261
1064,269,266,262
1068,269,267,263
1072,270,267,263
1076,270,266,262
1080,270,266,262
1084,270,267,263
1088,269,267,263
1092,269,265,262
1096,269,265,262
1100,269,266,262
1104,269,266,263
1108,269,265,262
1112,269,265,261
1116,270,266,262
1120,269,266,263
1124,270,266,263
1128,270,266,262
1132,270,267,263
1136,270,267,264
1140,270,266,263
1144,269,266,262
1148,269,266,262
1152,269,267,263
1156,269,266,263
1160,268,264,261
1164,269,265,261
1168,269,266,263
1172,269,266,263
1176,270,266,262
1180,270,266,262
1184,270,267,263
1188,270,267,263
1192,269,266,262
1196,269,265,262
1200,269,266,262
1204,269,266,263
1208,268,265,262
1212,269,265,261
1216,269,266,262
1220,270,267,263
1224,270,267,263
1228,270,266,263
1232,270,267,264
1236,270,267,264
1240,270,267,263
1244,269,265,262
1248,269,265,262
1252,268,265,262
1256,268,265,262
1260,268,264,261
1264,268,265,261
