Times (us),interval (us),strain (raw),sensorValue0 (raw)
65792,65792,2259364,426
78296,12504,2272289,422
90800,12504,2264633,421
103300,12500,2248807,421
115804,12504,2250003,420
128304,12500,2266176,418
140804,12500,2271488,417
153304,12500,2257927,417
165804,12500,2247077,416
178308,12504,2270258,415
190812,12504,2267240,414
203316,12504,2252222,414
215820,12504,2249268,413
228320,12500,2262537,412
240820,12500,2270414,411
253320,12500,2260665,411
265820,12500,2248968,410
278320,12500,2267637,409
290820,12500,2267997,408
303320,12500,2254703,408
315824,12504,2249263,407
328328,12504,2260151,406
340828,12500,2269220,405
353328,12500,2262528,405
365832,12504,2251870,404
378332,12500,2253852,403
390836,12504,2265568,402
403336,12500,2258307,403
415840,12504,2253592,402
428344,12504,2257668,400
440848,12504,2263648,400
453348,12500,2263054,400
465848,12500,2257348,399
478348,12500,2254490,398
490852,12504,2263845,397
503352,12500,2262733,397
515852,12500,2256053,397
528352,12500,2254044,395
540852,12500,2260590,395
553356,12504,2265500,395
565860,12504,2260159,394
578360,12500,2252651,393
590860,12500,2255569,392
603360,12500,2264846,392
615860,12500,2255669,392
628360,12500,2252329,390
640860,12500,2260448,390
653360,12500,2266488,390
665860,12500,2260406,389
678360,12500,2252210,388
690860,12500,2255483,387
703360,12500,2264777,387
715860,12500,2255754,387
728360,12500,2252562,385
740860,12500,2260200,384
753364,12504,2265960,385
765868,12504,2260537,384
778368,12500,2253161,383
790868,12500,2255775,382
803368,12500,2263534,382
815868,12500,2256928,382
828372,12504,2253848,381
840872,12500,2259267,380
853372,12500,2264038,380
865872,12500,2260771,380
878372,12500,2255162,378
890872,12500,2256050,378
903376,12504,2261529,378
915876,12500,2258138,378
928380,12504,2254856,376
940880,12500,2258342,375
953380,12500,2262755,376
965880,12500,2261161,375
978380,12500,2256369,374
990880,12500,2256073,373
1003380,12500,2260610,373
1015880,12500,2258909,373
1028384,12504,2255534,372
1040888,12504,2257770,371
1053388,12500,2261837,371
1065888,12500,2261181,371
1078392,12504,2257220,370
1090896,12504,2256234,369
1103396,12500,2259628,369
1115896,12500,2262035,369
1128396,12500,2256435,368
1140896,12500,2257572,367
1153396,12500,2261075,367
1165896,12500,2261244,367
1178400,12504,2257908,366
1190900,12500,2256598,365
1203400,12500,2259354,365
1215900,12500,2261571,365
