Times (us),interval (us),strain (raw),sensorValue0 (raw)
65804,65804,2285496,426
78304,12500,2285566,422
90808,12504,2284812,421
103312,12504,2284325,420
115816,12504,2285086,420
128320,12504,2285675,419
140820,12500,2284919,418
153320,12500,2284282,417
165820,12500,2284766,417
178320,12500,2285217,416
190824,12504,2284602,415
203324,12500,2284746,414
215828,12504,2285617,414
228328,12500,2285718,413
240828,12500,2284816,412
253328,12500,2283998,411
265828,12500,2284663,411
278328,12500,2285561,410
290832,12504,2284484,409
303336,12504,2284473,409
315836,12500,2285604,408
328340,12504,2285843,407
340840,12500,2284644,406
353340,12500,2283824,406
365840,12500,2284869,405
378340,12500,2286046,405
390840,12500,2283960,404
403344,12504,2284191,403
415848,12504,2285795,403
428348,12500,2286431,402
440848,12500,2284893,401
453348,12500,2283474,401
465852,12504,2284867,400
478352,12500,2286710,399
490852,12500,2283313,399
503352,12500,2283706,398
515852,12500,2286110,398
528352,12500,2286413,397
540852,12500,2284330,396
553352,12500,2283195,396
565856,12504,2284836,395
578356,12500,2286477,394
590856,12500,2285219,394
603356,12500,2283967,393
615856,12500,2286506,393
628356,12500,2286483,392
640856,12500,2283785,391
653356,12500,2282843,391
665856,12500,2285459,390
678356,12500,2287299,390
690856,12500,2285346,389
703356,12500,2284235,388
715856,12500,2286810,388
728356,12500,2286491,387
740860,12504,2283540,386
753360,12500,2282822,386
765864,12504,2285374,385
778364,12500,2287181,385
790864,12500,2285320,384
803368,12504,2282833,384
815868,12500,2286589,383
828368,12500,2286491,382
840868,12500,2283717,382
853368,12500,2282997,381
865872,12504,2285336,381
878376,12504,2286813,380
890876,12500,2285297,379
903380,12504,2283163,379
915884,12504,2286311,379
928388,12504,2286551,378
940888,12500,2284168,377
953392,12504,2283286,377
965892,12500,2285119,376
978396,12504,2286550,376
990896,12500,2285333,375
1003396,12500,2283539,374
1015896,12500,2286014,374
1028396,12500,2286231,374
1040900,12504,2284333,373
1053400,12500,2283585,372
1065900,12500,2285143,372
1078404,12504,2286309,371
1090904,12500,2285176,370
1103404,12500,2283482,370
1115908,12504,2284018,370
1128408,12500,2286783,369
1140908,12500,2284478,368
1153408,12500,2282812,368
1165908,12500,2284403,368
1178408,12500,2286681,367
1190908,12500,2285938,366
1203408,12500,2283267,366
1215912,12504,2283016,366
1228412,12500,2287018,365
1240912,12500,2284915,364
1253416,12504,2282754,364
1265916,12500,2283994,364
1278416,12500,2286594,363
1290916,12500,2286276,362
1303420,12504,2283648,362
1315924,12504,2282927,362
1328424,12500,2285367,361
1340928,12504,2285233,361
1353428,12500,2282667,360
1365928,12500,2283620,360
1378432,12504,2286450,359
1390936,12504,2286467,359
1403440,12504,2284062,358
1415940,12500,2282833,358
1428440,12500,2284882,357
1440940,12500,2285045,357
1453444,12504,2282876,356
1465944,12500,2283633,356
1478444,12500,2286935,356
1490952,12508,2287574,355
1503452,12500,2284531,355
1515952,12500,2281403,354
1528452,12500,2282070,354
1540952,12500,2286399,353
1553456,12504,2285881,353
1565956,12500,2280936,353
1578460,12504,2281871,352
1590960,12500,2287878,352
1603464,12504,2289971,351
1615964,12500,2283532,351
1628464,12500,2278158,351
1640968,12504,2282727,350
1653468,12500,2290142,349
1665968,12500,2281380,349
1678468,12500,2278070,349
1690972,12504,2285618,348
1703472,12500,2292390,348
1715972,12500,2287273,348
1728472,12500,2277933,347
1740972,12500,2279585,347
1753472,12500,2289533,346
1765972,12500,2282785,346
1778476,12504,2277346,346
1790984,12508,2284284,345
1803484,12500,2291974,345
1815984,12500,2287996,345
1828484,12500,2278918,344
1840984,12500,2279327,344
1853484,12500,2288244,343
1865984,12500,2283388,343
1878484,12500,2278360,343
1890988,12504,2283950,342
1903488,12500,2290718,342
1915988,12500,2287760,342
1928488,12500,2280195,341
1940988,12500,2280607,341
1953488,12500,2287621,340
1965988,12500,2289707,340
1978488,12500,2279882,340
1990988,12500,2283870,339
2003488,12500,2289015,339
2015992,12504,2287178,339
2028496,12504,2281826,339
2041000,12504,2281741,338
2053500,12500,2286858,338
2066004,12504,2288966,338
2078504,12500,2280777,338
2091008,12504,2282577,337
2103512,12504,2287861,336
2116012,12500,2288137,336
2128512,12500,2282166,336
2141012,12500,2279191,336
2153512,12500,2285557,335
2166016,12504,2291261,335
2178516,12500,-453097,335
2200956,22440,2289934,334
2213456,12500,2290782,334
2225956,12500,2281376,334
2238456,12500,2276977,333
2250956,12500,2284584,333
2263456,12500,2291987,333
2275956,12500,2287972,333
2288456,12500,2278978,332
2300956,12500,2278849,332
2313456,12500,2291819,332
2325956,12500,2284305,331
2338456,12500,2277400,331
2350956,12500,2282231,330
2363456,12500,2290854,331
2375960,12504,2289311,330
2388464,12504,2279992,330
2400964,12500,2277602,329
2413464,12500,2291420,329
2425964,12500,2286175,329
2438464,12500,2278484,328
2450964,12500,2280353,328
2463468,12504,2288968,328
2475968,12500,2290466,328
2488472,12504,2282300,327
2500972,12500,2277716,327
2513472,12500,2283923,327
2525972,12500,2287180,327
2538476,12504,2278752,326
2550980,12504,2280020,326
2563484,12504,2290079,326
2575984,12500,2291261,326
2588484,12500,2279962,325
2600984,12500,2275568,325
2613488,12504,2287150,325
2625988,12500,2284962,325
2638492,12504,2272979,324
2650992,12500,2280389,324
