Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,270,283,290
8,270,272,276
12,269,268,268
16,269,266,264
20,268,265,263
24,267,265,262
28,268,264,261
32,268,264,261
36,269,266,262
40,270,267,263
44,271,267,263
48,271,267,263
52,271,268,264
56,271,268,265
60,270,267,264
64,269,266,263
68,269,266,263
72,268,266,263
76,267,264,261
80,267,264,260
84,268,265,261
88,269,266,262
92,270,266,262
96,270,266,262
100,271,267,263
104,271,268,264
108,270,268,264
112,270,266,263
116,269,266,263
120,268,267,263
124,268,266,263
128,268,265,262
132,268,264,261
136,269,266,262
140,269,266,263
144,270,266,262
148,270,266,262
152,270,267,263
156,270,267,264
160,270,267,263
164,270,267,263
168,269,267,263
172,270,267,264
176,269,266,263
180,269,265,262
184,268,265,262
188,268,266,262
192,268,265,262
196,269,265,261
200,269,265,262
204,269,267,263
208,270,267,263
212,270,266,262
216,270,266,263
220,270,267,264
224,270,267,264
228,270,266,263
232,269,266,262
236,269,266,263
240,269,266,263
244,268,265,262
248,269,265,261
252,269,266,262
256,269,266,263
260,269,266,262
264,270,266,262
268,270,267,263
272,270,268,264
276,270,267,264
280,270,267,263
284,270,267,263
288,269,267,264
292,268,265,262
296,268,264,261
300,267,264,261
304,268,265,261
308,268,265,262
312,269,265,261
316,269,266,262
320,270,267,263
324,271,268,264
328,271,267,264
332,271,267,264
336,271,267,264
340,269,266,263
344,268,265,262
348,268,264,261
352,268,265,261
356,268,265,262
360,269,265,261
364,269,265,261
368,270,266,262
372,270,267,263
376,270,267,263
380,270,267,263
384,270,267,263
388,270,267,264
392,269,266,263
396,268,265,262
400,268,265,262
404,268,265,262
408,268,265,262
412,268,265,261
416,269,265,262
420,269,267,263
424,270,267,263
428,270,266,262
432,271,267,263
436,271,268,264
440,270,268,264
444,270,267,263
448,269,266,263
452,268,266,263
456,269,266,263
460,268,265,262
464,268,265,261
468,268,266,262
472,269,266,262
476,269,266,262
480,270,266,262
484,270,267,263
488,270,268,264
492,270,267,263
496,270,266,262
500,269,266,263
504,269,266,263
508,269,265,262
512,268,265,261
516,268,264,261
520,268,266,262
524,269,266,262
528,269,265,262
532,270,266,262
536,270,267,263
540,270,267,263
544,270,266,263
548,269,266,263
552,269,266,263
556,269,266,263
560,269,265,262
564,268,265,261
568,268,265,262
572,269,266,262
576,269,265,262
580,270,265,261
584,270,266,263
588,270,268,264
592,270,267,263
596,270,266,263
600,270,267,263
604,270,267,263
608,269,266,263
612,269,265,262
616,269,265,262
620,268,266,262
624,268,265,262
628,269,265,261
632,269,265,262
636,270,266,262
640,270,266,263
644,270,266,262
648,270,266,263
652,270,267,263
656,270,267,263
660,269,266,262
664,269,265,262
668,268,266,262
672,268,266,262
676,268,265,261
680,268,265,261
684,269,265,262
688,270,267,263
692,270,266,263
696,270,266,262
700,270,267,263
704,271,268,264
708,270,267,263
712,269,266,262
716,268,265,262
720,268,265,262
724,268,265,262
728,268,264,261
732,268,265,261
736,269,266,262
740,270,266,263
744,270,266,262
748,270,267,263
752,270,268,264
756,270,267,264
760,270,266,263
764,269,266,262
768,269,266,263
772,269,266,263
776,269,265,261
780,268,264,261
784,269,265,262
788,269,266,262
792,270,266,262
796,270,266,262
800,270,267,263
804,270,267,264
808,270,267,263
812,270,266,262
816,269,266,262
820,269,266,263
824,268,265,262
828,268,264,261
832,268,264,261
836,269,266,262
840,269,266,262
844,270,266,262
848,270,267,263
852,271,268,264
856,271,268,264
860,270,267,263
864,270,266,263
868,269,266,263
872,268,265,263
876,268,264,261
880,268,264,261
884,268,265,262
888,269,266,262
892,270,266,262
896,270,266,262
900,270,267,263
904,271,268,264
908,270,267,264
912,270,266,263
916,269,266,263
920,269,266,263
924,268,265,262
928,268,264,261
932,268,265,261
936,269,266,262
940,269,265,262
944,270,266,262
948,270,266,262
952,270,267,263
956,271,267,263
960,270,266,263
964,269,266,262
968,270,267,263
972,269,266,263
976,269,265,262
980,269,265,261
984,268,266,262
988,269,266,262
992,269,265,262
996,269,265,262
1000,270,267,263
1004,270,267,264
1008,270,267,263
1012,270,266,263
1016,270,267,263
1020,270,267,264
1024,269,266,263
1028,269,265,262
1032,268,266,262
1036,268,266,262
1040,268,266,262
1044,269,265,261
1048,269,266,262
1052,269,267,263
1056,270,266,263
1060,270,266,262
1064,270,266,263
1068,270,267,263
1072,270,267,263
1076,270,266,263
