Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,269,283,290
8,269,270,275
12,269,266,266
16,270,267,265
20,269,268,265
24,270,266,263
28,270,265,262
32,270,266,263
36,269,268,264
40,269,266,263
44,269,265,261
48,269,265,262
52,269,267,263
56,269,266,263
60,269,264,261
64,269,265,261
68,268,267,263
72,269,266,263
76,268,264,261
80,269,265,261
84,268,267,263
88,268,266,263
92,269,265,261
96,269,265,261
100,269,266,263
104,269,267,264
108,270,266,262
112,270,265,262
116,270,268,264
120,270,268,265
124,270,266,263
128,270,265,262
132,270,267,263
136,269,268,264
140,269,266,263
144,269,265,261
148,269,266,262
152,269,267,264
156,269,266,262
160,269,264,261
164,269,266,262
168,269,268,264
172,270,267,264
176,270,265,262
180,269,266,262
184,270,268,264
188,269,267,264
192,269,265,262
196,269,265,261
200,269,266,263
204,269,266,263
208,269,265,262
212,270,265,261
216,270,267,263
220,270,268,264
224,269,266,262
228,269,264,261
232,268,265,262
236,268,266,262
240,267,264,261
244,268,263,259
248,268,265,261
252,269,267,263
256,269,266,262
260,270,265,262
264,270,267,263
268,271,269,265
272,271,268,265
276,271,267,263
280,271,267,263
284,270,268,265
288,269,267,264
292,269,265,262
296,269,265,262
300,269,267,263
304,268,266,263
308,269,265,261
312,269,265,261
316,270,267,263
320,270,268,264
324,270,267,263
328,270,266,262
332,270,268,264
336,270,268,265
340,269,266,263
344,269,265,261
348,269,266,262
352,269,267,264
356,269,266,262
360,269,265,261
364,269,266,262
368,269,267,264
372,269,266,262
376,269,265,261
380,269,266,262
384,270,267,264
388,269,267,263
392,269,265,262
396,269,265,262
400,269,267,264
404,269,267,264
408,269,265,262
412,270,266,262
416,270,268,264
420,270,268,264
424,271,266,263
428,270,266,262
432,270,268,264
436,270,268,265
440,269,265,262
444,269,264,261
448,269,265,262
452,268,266,263
456,268,265,262
460,268,264,260
464,269,266,262
468,269,267,263
472,269,266,262
476,269,265,261
480,270,266,262
484,270,268,264
488,270,267,264
492,270,266,262
496,270,266,262
500,269,268,264
504,269,267,263
508,268,264,261
512,268,264,261
516,268,266,263
520,269,267,263
524,269,265,262
528,269,265,261
532,269,267,263
536,269,267,264
540,270,266,262
544,268,265,261
548,269,266,263
552,268,266,263
556,268,265,262
560,269,264,260
564,269,266,262
568,269,267,264
572,270,266,263
576,270,265,262
580,271,267,263
584,271,269,265
588,270,268,264
592,270,266,262
596,269,266,263
600,270,267,264
604,269,267,264
608,269,265,261
612,269,265,262
616,270,267,263
620,269,267,263
624,270,265,262
628,271,266,262
632,270,268,264
636,270,268,264
640,269,266,263
644,269,265,261
648,268,266,262
652,268,266,263
656,268,265,261
660,268,264,260
664,269,266,262
668,270,267,264
672,270,266,262
676,270,266,262
680,270,267,263
684,270,268,265
688,270,267,264
692,270,266,262
696,270,266,263
700,270,268,265
704,271,268,264
708,270,265,262
712,270,267,263
716,270,268,265
720,270,267,264
724,270,266,262
728,270,266,262
732,270,268,264
736,270,268,265
740,270,266,263
744,270,266,262
748,270,268,264
752,271,269,265
756,272,268,264
760,274,268,264
764,275,272,267
768,275,273,269
772,276,272,268
776,276,272,268
780,277,274,269
784,277,275,271
788,276,273,270
792,276,272,268
796,275,272,269
800,273,272,269
804,271,269,266
808,267,264,262
812,264,262,260
816,262,261,259
820,260,259,257
824,260,256,253
828,260,256,253
832,261,259,255
836,264,261,257
840,266,261,257
844,269,264,259
848,272,268,263
852,274,271,266
856,274,270,266
860,274,270,266
864,274,272,268
868,274,272,269
872,273,270,267
876,272,268,265
880,271,269,266
884,272,270,267
888,273,269,266
892,272,268,264
896,272,268,265
900,270,268,265
904,267,265,263
908,265,262,259
912,264,261,258
916,264,262,259
920,264,261,258
924,264,259,256
928,264,260,257
932,264,262,258
936,264,261,258
940,264,260,256
944,265,261,257
948,267,264,260
952,269,266,262
956,271,265,261
960,272,267,262
964,274,271,266
968,275,272,268
972,275,271,267
976,273,269,266
980,270,269,266
984,268,267,265
988,265,263,261
992,263,260,257
996,262,260,257
1000,263,261,258
1004,264,261,257
1008,265,260,256
1012,265,262,258
1016,265,263,259
1020,264,261,258
1024,263,259,256
1028,263,259,256
1032,263,261,258
1036,264,261,258
1040,266,261,257
1044,267,262,258
1048,268,265,261
1052,268,265,261
1056,267,264,260
1060,266,263,259
1064,264,263,260
1068,263,262,259
1072,262,259,256
1076,260,256,253
1080,258,256,253
1084,255,254,252
1088,254,251,249
1092,254,250,247
1096,257,253,249
1100,263,259,254
1104,271,264,258
1108,277,270,263
1112,283,277,270
1116,283,280,275
1120,284,281,276
1124,276,274,272
1128,270,269,268
1132,255,258,260
1136,210,222,232
1140,268,256,246
1144,169,192,208
1148,226,221,215
1152,145,165,179
1156,232,216,203
1160,415,346,296
1164,458,424,378
1168,579,526,472
1172,546,538,511
1176,582,562,541
1180,350,417,454
1184,317,342,377
1188,94,173,239
1192,59,97,147
1196,26,51,87
1200,43,48,64
1204,20,32,45
1208,201,149,113
1212,298,250,202
1216,500,421,345
1220,556,509,450
1224,613,578,531
1228,550,555,542
1232,461,488,502
1236,295,351,398
1240,167,223,280
1244,75,123,176
1248,25,60,103
1252,12,30,58
1256,22,29,41
1260,147,110,87
1264,271,220,174
1268,420,355,291
1272,516,463,401
1276,572,535,486
1280,560,550,524
1284,495,509,510
1288,378,415,443
1292,242,294,341
1296,120,174,229
1300,42,87,137
1304,17,42,77
1308,33,39,55
1312,110,88,78
1316,227,182,146
1320,349,293,241
1324,418,378,329
1328,516,470,420
1332,520,501,470
1336,506,500,486
1340,400,429,444
1344,307,343,374
1348,174,225,273
1352,99,138,183
1356,40,74,113
1360,50,60,80
1364,85,78,80
1368,157,131,112
1372,264,221,182
1376,369,321,272
1380,447,406,358
1384,497,466,426
1388,487,477,455
1392,439,447,446
1396,345,374,395
1400,244,282,317
1404,146,186,228
1408,95,124,160
1412,60,83,111
1416,69,75,89
1420,123,107,100
1424,209,176,149
1428,312,269,227
1432,399,356,310
1436,461,425,383
1440,484,462,432
1444,455,455,443
1448,389,407,415
1452,315,340,362
1456,222,256,290
1460,131,170,209
1464,84,113,146
1468,66,82,105
1472,101,95,99
1476,167,144,128
1480,265,226,192
1484,357,313,270
1488,430,390,347
1492,471,444,408
1496,467,458,437
1500,436,439,435
1504,353,377,392
1508,265,297,326
1512,169,208,246
1516,107,138,174
1520,74,95,122
1524,88,91,103
1528,141,125,117
1532,224,192,165
1536,301,265,228
1540,382,343,302
1544,445,411,371
1548,468,447,418
1552,445,443,430
1556,385,399,406
1560,296,326,350
1564,206,241,276
1568,128,163,199
1572,88,113,142
1576,84,95,112
1580,112,107,108
1584,175,153,137
1588,269,231,197
1592,351,312,271
1596,421,385,344
1600,456,431,398
1604,447,439,421
1608,402,410,410
1612,322,347,365
1616,236,268,298
1620,155,188,223
1624,117,139,167
1628,89,106,128
1632,108,107,115
1636,158,141,131
1640,238,206,179
1644,325,286,248
1648,393,357,317
1652,441,412,376
1656,442,430,408
1660,414,416,410
1664,363,377,385
1668,284,310,332
1672,203,234,265
1676,139,168,199
1680,106,126,151
1684,108,114,126
1688,149,137,132
1692,213,189,169
1696,300,264,230
1700,363,329,293
1704,418,388,353
1708,428,413,389
1712,422,417,404
1716,373,384,387
1720,308,328,345
1724,230,258,285
1728,167,194,223
1732,125,146,171
1736,119,127,142
1740,144,139,139
1744,198,178,164
1748,270,239,212
1752,322,294,264
1756,377,349,317
1760,413,391,363
1764,412,403,386
1768,385,387,383
1772,326,342,353
1776,259,283,304
1780,193,219,246
1784,149,170,194
1788,130,142,159
1792,137,138,145
1796,171,160,154
1800,229,207,187
1804,294,264,236
1808,350,321,290
1812,393,368,339
1816,402,388,368
1820,387,384,375
1824,341,352,357
1828,284,303,319
1832,220,244,267
1836,185,200,221
1840,150,165,183
1844,146,151,161
1848,164,159,159
1852,211,193,180
1856,270,244,220
1860,326,298,270
1864,368,344,316
1868,391,373,351
1872,384,378,365
1876,356,361,359
1880,317,328,336
1884,262,280,296
1888,206,227,248
1892,171,187,207
1896,153,163,177
1900,163,162,166
1904,196,184,176
1908,248,227,208
1912,300,275,250
1916,349,323,296
1920,370,353,331
1924,381,370,354
1928,368,367,359
1932,335,342,345
1936,284,299,311
1940,231,250,269
1944,189,207,226
1948,166,177,192
1952,165,167,174
1956,187,180,176
1960,228,212,199
1964,268,249,230
1968,314,291,268
1972,355,333,308
1976,371,357,338
1980,370,363,352
1984,343,346,345
1988,304,315,322
1992,252,270,285
1996,209,227,244
2000,179,192,208
2004,170,175,185
2008,176,175,177
2012,207,196,188
2016,247,229,213
2020,296,273,250
2024,335,313,289
2028,361,344,323
2032,367,357,342
2036,349,349,343
2040,319,325,329
2044,272,287,298
2048,239,251,265
2052,200,214,229
2056,180,189,201
2060,177,180,186
2064,198,191,188
2068,235,218,206
2072,277,256,237
2076,318,297,275
2080,349,330,309
2084,359,347,331
2088,353,349,340
2092,333,335,334
2096,301,309,315
2100,254,268,281
2104,218,231,246
2108,190,202,215
2112,183,188,196
2116,192,189,190
2120,225,212,203
2124,260,243,228
2128,303,283,262
2132,333,314,294
2136,349,335,318
2140,353,345,334
2144,338,338,334
2148,310,316,319
2152,273,284,293
2156,237,249,262
2160,204,217,230
2164,190,197,206
2168,193,192,195
2172,215,206,201
2176,240,228,217
2180,277,260,243
2184,313,293,274
2188,337,320,302
2192,347,337,323
2196,340,336,329
2200,317,320,320
2204,285,293,299
2208,249,261,272
2212,218,229,242
2216,198,205,216
2220,196,196,201
2224,204,201,199
2228,233,222,213
2232,262,247,234
2236,299,281,262
2240,323,308,290
2244,340,328,313
2248,337,331,322
2252,322,322,319
2256,293,300,304
2260,263,272,281
2264,238,246,256
2268,213,221,231
2272,201,205,212
2276,205,204,206
2280,225,217,211
2284,252,238,227
2288,285,268,252
2292,311,296,279
2296,330,317,302
2300,334,326,315
2304,327,324,318
2308,309,311,311
2312,280,287,293
2316,251,260,268
2320,224,233,243
2324,210,215,223
2328,207,209,212
2332,222,216,212
2336,244,232,223
2340,272,258,244
2344,299,284,269
2348,315,303,289
2352,328,317,305
2356,326,321,313
2360,313,314,311
2364,290,294,297
2368,263,270,276
2372,236,245,253
2376,219,225,233
2380,211,214,218
2384,219,215,214
2388,236,228,221
2392,254,244,235
2396,282,269,255
2400,304,290,276
2404,321,309,295
2408,323,317,307
2412,316,314,309
2416,297,299,299
2420,274,278,283
2424,247,256,263
2428,229,235,242
2432,219,221,226
2436,217,216,217
2440,229,223,219
2444,246,237,229
2448,272,259,246
2452,293,280,266
2456,312,301,287
2460,319,311,300
2464,316,312,305
2468,302,302,300
2472,282,286,288
2476,264,269,273
2480,242,248,254
2484,226,231,236
2488,221,222,225
2492,227,224,223
2496,240,233,228
2500,263,251,241
2504,284,271,259
2508,303,291,278
2512,314,304,293
2516,314,308,300
2520,308,306,301
2524,293,295,295
2528,273,278,281
2532,251,257,263
2536,235,239,245
2540,225,228,232
2544,228,226,226
2548,237,231,227
2552,256,245,237
2556,274,264,253
2560,290,280,268
2564,304,294,283
2568,310,302,293
2572,308,304,298
2576,298,298,295
2580,281,284,285
2584,262,266,269
2588,243,248,253
2592,232,236,240
2596,229,229,231
2600,234,230,228
2604,244,238,232
2608,262,252,244
2612,281,270,259
2616,297,286,274
2620,307,298,287
2624,308,303,295
2628,301,300,296
2632,287,288,288
2636,269,272,275
2640,251,256,260
2644,238,242,246
2648,232,233,235
2652,232,230,230
2656,241,236,232
2660,255,247,240
2664,273,262,252
2668,289,278,267
2672,301,292,281
2676,306,300,291
2680,302,299,293
2684,291,291,289
2688,280,281,281
2692,263,267,270
2696,247,251,255
2700,237,239,242
2704,234,233,234
2708,239,235,233
2712,250,244,238
2716,266,257,248
2720,282,272,262
2724,295,286,276
2728,302,295,286
2732,303,298,291
2736,297,294,290
2740,285,286,286
2744,269,272,274
2748,254,257,261
2752,243,245,248
2756,237,237,239
2760,238,236,235
2764,246,241,237
2768,260,252,244
2772,276,267,257
2776,286,278,269
2780,296,288,279
2784,300,294,286
2788,298,294,289
2792,289,288,286
2796,276,277,278
2800,261,263,266
2804,249,251,254
2808,241,242,244
2812,239,238,238
2816,242,239,236
2820,252,245,240
2824,266,258,250
2828,279,270,261
2832,291,282,272
2836,297,290,281
2840,298,293,287
2844,292,290,286
2848,281,281,280
2852,267,269,270
2856,254,257,260
2860,247,248,250
2864,242,241,242
2868,242,239,238
2872,249,244,240
2876,261,254,247
2880,274,265,257
2884,285,276,267
2888,293,286,277
2892,296,291,284
2896,292,289,285
2900,284,283,281
2904,275,275,275
2908,263,265,266
2912,252,254,256
2916,246,246,247
2920,244,242,242
2924,247,244,242
2928,256,250,245
2932,268,260,252
2936,280,272,263
2940,289,282,273
2944,293,288,280
2948,294,289,283
2952,289,286,283
2956,280,280,279
2960,268,270,271
2964,257,258,260
2968,248,249,250
2972,245,244,245
2976,246,244,242
2980,253,248,244
2984,264,256,249
2988,272,265,258
2992,283,275,267
2996,290,283,275
3000,293,287,280
3004,290,287,282
3008,283,282,280
3012,273,273,273
3016,262,263,264
3020,253,254,255
3024,248,248,248
3028,247,245,244
3032,250,246,243
3036,257,251,246
3040,268,261,254
3044,278,271,263
3048,287,278,270
3052,290,284,277
3056,290,286,281
3060,285,283,280
3064,276,275,274
3068,266,267,267
3072,259,260,260
3076,252,252,253
3080,248,247,247
3084,249,246,244
3088,256,250,246
3092,264,258,252
3096,274,267,259
3100,282,275,267
3104,288,282,274
3108,289,285,279
3112,286,283,279
3116,281,279,276
3120,272,272,271
3124,263,264,264
3128,256,256,256
3132,251,249,249
3136,250,248,246
3140,254,250,247
3144,261,256,250
3148,270,263,256
3152,278,272,264
3156,285,279,272
3160,287,283,276
3164,287,283,278
3168,283,280,277
3172,276,275,274
3176,267,268,268
3180,259,259,259
3184,253,253,253
3188,251,250,249
3192,253,250,248
3196,259,253,249
3200,264,259,253
3204,273,267,260
3208,280,275,268
3212,285,279,273
3216,287,281,276
3220,284,281,277
3224,278,277,275
3228,270,270,269
3232,262,262,262
3236,257,256,256
3240,253,252,251
3244,253,251,249
3248,256,252,248
3252,262,257,252
3256,269,264,258
3260,277,271,264
3264,283,276,269
3268,285,279,274
3272,284,281,276
3276,280,278,275
3280,273,272,270
3284,266,265,264
3288,261,260,259
3292,256,256,255
3296,254,252,250
3300,256,252,249
3304,260,256,251
3308,266,261,256
3312,274,267,261
3316,280,273,266
3320,283,278,272
3324,284,280,275
3328,282,279,275
3332,278,275,272
3336,271,270,268
3340,264,264,263
3344,259,258,258
3348,256,254,252
3352,256,252,250
3356,258,255,251
3360,264,259,254
3364,271,264,258
3368,276,271,264
3372,280,275,269
3376,283,278,273
3380,282,278,274
3384,280,276,273
3388,274,273,271
3392,268,267,266
3396,261,260,260
3400,258,256,255
3404,256,254,252
3408,257,254,252
3412,262,257,253
3416,266,261,256
3420,272,267,261
3424,278,272,266
3428,281,276,270
3432,282,278,273
3436,280,277,273
3440,276,274,272
3444,270,269,267
3448,264,262,262
3452,259,258,257
3456,257,256,254
3460,256,254,252
3464,259,255,252
3468,264,259,254
3472,270,264,259
3476,275,270,264
3480,280,274,268
3484,281,276,271
3488,281,277,273
3492,277,276,272
3496,272,271,269
3500,268,266,264
3504,263,262,261
3508,259,258,257
3512,257,255,253
3516,258,255,252
3520,262,258,254
3524,268,263,257
3528,273,268,262
3532,278,272,266
3536,281,276,270
3540,281,277,273
3544,279,276,272
3548,275,272,270
3552,270,268,266
3556,265,264,263
3560,260,258,258
3564,258,256,254
3568,258,256,253
3572,261,257,254
3576,266,261,256
