Times (us),interval (us),strain (raw),sensorValue0 (raw)
65808,65808,2263752,426
78308,12500,2264790,422
90812,12504,2265326,421
103312,12500,2264366,420
115812,12500,2263451,420
128312,12500,2264084,418
140812,12500,2265188,417
153312,12500,2265081,417
165816,12504,2264106,416
178316,12500,2264628,415
190820,12504,2265415,414
203320,12500,2264851,414
215820,12500,2263710,413
228324,12504,2263982,412
240824,12500,2265197,411
253324,12500,2265286,411
265824,12500,2264101,410
278324,12500,2264590,409
290824,12500,2265303,408
303324,12500,2264735,408
315824,12500,2263815,407
328324,12500,2263967,406
340824,12500,2264928,405
353328,12504,2265247,405
365828,12500,2264327,405
378328,12500,2263724,403
390828,12500,2265254,402
403328,12500,2265003,402
415828,12500,2263948,402
428328,12500,2263929,401
440828,12500,2264932,400
453328,12500,2265127,400
465828,12500,2264206,399
478332,12504,2263718,398
490836,12504,2265004,397
503336,12500,2264687,397
515836,12500,2263868,397
528336,12500,2263900,396
540836,12500,2264695,395
553340,12504,2264767,395
565844,12504,2264213,395
578344,12500,2263994,393
590844,12500,2264284,392
603344,12500,2264490,392
615844,12500,2264051,392
628344,12500,2263982,391
640844,12500,2264338,390
653348,12504,2264541,390
665848,12500,2264302,390
678352,12504,2263846,389
690852,12500,2264096,388
703352,12500,2264759,387
715852,12500,2264035,387
728356,12504,2263839,386
740860,12504,2264305,385
753360,12500,2264647,385
765860,12500,2264434,385
778360,12500,2263947,384
790860,12500,2263815,383
803360,12500,2264350,382
815860,12500,2264413,382
828364,12504,2263868,381
840864,12500,2264015,380
853364,12500,2264738,380
865864,12500,2264836,380
878368,12504,2264104,379
890868,12500,2263790,378
903372,12504,2264390,378
915872,12500,2264499,378
928376,12504,2263837,377
940876,12500,2264081,376
953376,12500,2264606,376
965876,12500,2264640,376
978376,12500,2263951,375
990876,12500,2263558,374
1003376,12500,2264289,374
1015876,12500,2264879,374
1028380,12504,2263590,373
1040880,12500,2263993,372
1053380,12500,2264802,371
1065880,12500,2264703,372
1078380,12500,2263796,371
1090880,12500,2263415,370
1103384,12504,2264081,369
1115884,12500,2264829,370
1128384,12500,2263652,369
1140884,12500,2263797,368
1153384,12500,2264577,367
1165888,12504,2264796,367
1178388,12500,2264007,367
1190888,12500,2263633,366
1203388,12500,2264320,365
1215888,12500,2264663,366
1228388,12500,2263490,365
1240892,12504,2263841,364
