Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,271,284,290
8,268,270,274
12,266,265,266
16,264,263,262
20,262,260,259
24,262,258,256
28,264,260,257
32,266,263,259
36,267,264,260
40,268,263,259
44,269,265,260
48,270,267,263
52,270,267,264
56,269,265,262
60,269,265,261
64,268,266,262
68,269,267,263
72,269,265,262
76,270,265,261
80,270,268,264
84,271,268,265
88,272,268,264
92,272,267,263
96,273,270,266
100,273,271,267
104,273,269,266
108,272,267,264
112,270,267,264
116,269,267,264
120,267,265,262
124,266,262,260
128,266,263,259
132,265,264,260
136,266,263,260
140,266,262,258
144,268,264,260
148,270,267,263
152,271,268,264
156,272,267,263
160,272,268,264
164,273,271,267
168,272,269,266
172,271,267,264
176,269,266,262
180,268,266,263
184,268,266,263
188,267,264,261
192,267,263,260
196,269,266,262
200,269,267,263
204,270,266,262
208,270,265,261
212,269,267,263
216,269,267,264
220,269,266,263
224,269,264,261
228,268,265,262
232,269,266,263
236,268,265,262
240,269,264,260
244,270,266,262
248,273,270,265
252,276,272,267
256,278,273,268
260,280,275,270
264,281,278,273
268,279,277,273
272,276,272,270
276,272,269,267
280,269,268,266
284,266,265,263
288,264,261,259
292,262,259,256
296,262,260,257
300,262,260,257
304,263,259,256
308,264,259,255
312,265,262,258
316,266,264,260
320,267,264,260
324,269,264,260
328,270,266,262
332,271,268,264
336,270,267,263
340,269,265,261
344,270,266,262
348,269,268,264
352,270,267,264
356,271,266,263
360,273,269,264
364,275,273,268
368,277,274,270
372,277,273,269
376,277,273,269
380,275,273,270
384,274,272,269
388,273,269,266
392,272,268,265
396,271,268,265
400,270,268,265
404,270,266,263
408,269,265,262
412,269,266,263
416,267,266,263
420,266,263,260
424,266,262,259
428,266,263,259
432,266,264,261
436,267,263,260
440,267,262,259
444,267,264,260
448,268,266,262
452,268,264,261
456,268,263,260
460,268,264,261
464,268,266,262
468,269,266,262
472,270,265,261
476,271,266,262
480,272,269,265
484,273,270,266
488,273,268,265
492,272,268,265
496,271,269,265
500,269,268,265
504,268,265,262
508,268,264,261
512,268,265,262
516,266,265,262
520,266,263,260
524,266,262,258
528,266,263,260
532,266,264,261
