Times (us),interval (us),strain (raw),sensorValue0 (raw)
67020,67020,-5870623,422
79524,12504,-5872981,418
92024,12500,-5879292,416
104524,12500,-5885007,415
117028,12504,-5885354,414
129528,12500,-5881802,413
142032,12504,-5881264,412
154532,12500,-5879728,411
167032,12500,-5880353,410
179532,12500,-5871670,409
192032,12500,-5865066,408
204532,12500,-5864702,407
217032,12500,-5865596,406
229536,12504,-5867308,406
242036,12500,-5865976,405
254536,12500,-5864590,403
267036,12500,-5865262,403
279536,12500,-5867879,402
292036,12500,-5868396,401
304536,12500,-5865738,400
317040,12504,-5865347,399
329544,12504,-5874635,399
342048,12504,-5875150,398
354548,12500,-5871484,397
367048,12500,-5861010,396
379548,12500,-5859198,396
392052,12504,-5860946,395
404552,12500,-5860843,394
417052,12500,-5861259,393
429552,12500,-5862147,393
442052,12500,-5859128,392
454552,12500,-5862401,391
467056,12504,-5863995,390
479556,12500,-5865924,390
492056,12500,-5867445,389
504556,12500,-5865647,388
517056,12500,-5863508,387
529560,12504,-5869143,387
542060,12500,-5871025,386
554564,12504,-5872318,385
567064,12500,-5872007,384
579568,12504,-5874497,384
592068,12500,-5881095,383
604568,12500,-5885525,382
617072,12504,-5880814,381
629572,12500,-5878274,381
642072,12500,-5877267,380
654572,12500,-5871878,379
667076,12504,-5865177,378
679580,12504,-5863720,378
692080,12500,-5865838,377
704580,12500,-5865408,376
717084,12504,-5864923,375
729584,12500,-5864873,375
742088,12504,-5864112,375
754588,12500,-5866604,373
767092,12504,-5865849,373
779592,12500,-5864896,373
792092,12500,-5869043,372
804596,12504,-5872852,371
817096,12500,-5875849,370
829596,12500,-5876270,370
842100,12504,-5868716,369
854604,12504,-5871069,368
867104,12500,-5878161,368
879604,12500,-5881188,367
892108,12504,-5876006,367
904608,12500,-5872250,366
917108,12500,-5872627,365
929608,12500,-5873886,365
942108,12500,-5875288,364
954608,12500,-5876147,363
967108,12500,-5873601,362
979608,12500,-5878034,362
992108,12500,-5878396,362
1004608,12500,-5872985,361
1017108,12500,-5875157,360
1029608,12500,-5878170,360
1042108,12500,-5874176,360
1054612,12504,-5869071,359
1067112,12500,-5873839,358
1079612,12500,-5875714,358
1092116,12504,-5869513,357
1104616,12500,-5870285,356
1117116,12500,-5868161,356
1129616,12500,-5862921,355
1142116,12500,-5862477,355
