Times (us),interval (us),strain (raw),sensorValue0 (raw)
12504,12504,2283906,426
76992,64488,2283979,423
89492,12500,2284243,421
101992,12500,2284329,420
114496,12504,2283875,419
126996,12500,2283640,418
139500,12504,2283924,418
152004,12504,2284273,417
164508,12504,2284223,416
177008,12500,2283830,415
189508,12500,2284185,414
202008,12500,2284317,414
214508,12500,2284031,413
227008,12500,2283755,412
239508,12500,2283969,411
252008,12500,2284397,411
264508,12500,2284216,410
277012,12504,2283834,409
289512,12500,2284389,408
302016,12504,2284159,408
314516,12500,2283732,407
327016,12500,2283766,406
339516,12500,2284002,406
352016,12500,2284169,405
364516,12500,2284131,404
377020,12504,2283875,403
389520,12500,2283784,403
402024,12504,2284171,402
414524,12500,2283909,401
427024,12500,2283808,401
439524,12500,2283972,400
452024,12500,2284132,400
464524,12500,2284051,399
477024,12500,2283970,398
489524,12500,2284195,398
502028,12504,2284135,397
514528,12500,2283718,396
527028,12500,2283738,396
539532,12504,2284144,395
552032,12500,2284415,394
564536,12504,2284162,394
577036,12500,2283823,393
589536,12500,2284138,392
602036,12500,2284440,392
614540,12504,2283560,391
627040,12500,2283874,390
639544,12504,2284356,390
652044,12500,2284111,389
664544,12500,2283782,389
677048,12504,2283821,388
689548,12500,2284184,387
702052,12504,2284398,387
714556,12504,2283680,386
727056,12500,2283897,386
739556,12500,2284237,385
752060,12504,2284162,384
764560,12500,2283828,384
777060,12500,2283733,383
789560,12500,2283925,382
802060,12500,2283964,382
814560,12500,2283884,381
827064,12504,2283864,381
839568,12504,2283941,380
852068,12500,2283988,380
864568,12500,2284062,379
877068,12500,2284041,378
889572,12504,2284035,378
902072,12500,2284087,377
914576,12504,2283877,377
927076,12500,2283683,376
939576,12500,2283730,375
952076,12500,2284030,375
964576,12500,2284082,375
977080,12504,2283785,374
989584,12504,2283642,373
1002084,12500,2283886,373
1014584,12500,2284027,372
1027084,12500,2283878,372
1039584,12500,2284106,371
1052084,12500,2284282,371
1064584,12500,2284118,370
1077084,12500,2283833,370
1089588,12504,2283866,369
1102088,12500,2283987,369
1114588,12500,2283872,368
1127088,12500,2283788,368
1139588,12500,2283957,367
1152088,12500,2283941,367
1164588,12500,2283821,366
1177088,12500,2283795,366
1189588,12500,2284033,365
1202092,12504,2284066,365
1214596,12504,2283887,364
1227100,12504,2283793,364
1239600,12500,2284004,363
1252104,12504,2284018,363
1264604,12500,2283853,362
1277104,12500,2283881,362
1289604,12500,2284010,361
1302104,12500,2284081,361
1314604,12500,2283859,360
1327108,12504,2283541,360
1339608,12500,2283879,359
1352112,12504,2283870,359
1364612,12500,2283463,358
1377112,12500,2283481,358
1389612,12500,2283851,357
1402116,12504,2284092,357
1414616,12500,2283770,357
1427120,12504,2283423,356
1439620,12500,2283540,356
1452120,12500,2283943,355
1464624,12504,2283646,355
1477124,12500,2283170,354
1489624,12500,2283574,354
1502124,12500,2284356,353
1514624,12500,2284100,353
1527128,12504,2283554,353
1539632,12504,2283471,352
1552132,12500,2283834,352
1564632,12500,2283583,351
1577136,12504,2283114,351
1589636,12500,2283607,350
1602136,12500,2284350,350
1614636,12500,2284138,350
1627140,12504,2283309,349
1639644,12504,2283282,349
1652144,12500,2284052,348
1664644,12500,2284327,348
1677144,12500,2283133,348
1689644,12500,2283644,347
1702144,12500,2284325,347
1714644,12500,2284011,346
1727144,12500,2283334,346
1739644,12500,2283306,345
1752144,12500,2283783,345
1764644,12500,2284135,345
1777144,12500,2283475,344
1789644,12500,2283854,344
1802144,12500,2284254,343
1814644,12500,2283847,343
1827148,12504,2283264,343
1839648,12500,2283362,342
1852148,12500,2283873,342
1864648,12500,2284244,342
1877148,12500,2283830,341
1889648,12500,2283534,341
1902152,12504,2284015,340
1914656,12504,2284058,340
1927156,12500,2283348,340
1939660,12504,2282964,339
1952160,12500,2283684,339
1964664,12504,2284099,339
1977164,12500,2283732,338
1989664,12500,2283522,338
2002168,12504,2283972,338
2014672,12504,2283995,337
2027176,12504,2283564,337
2039680,12504,2283353,337
2052180,12500,2283645,336
2064684,12504,2284179,336
2077184,12500,2283828,336
2089684,12500,-452940,335
2112124,22440,2284053,335
2124624,12500,2283511,334
2137124,12500,2283127,334
2149624,12500,2283585,334
2162124,12500,2283924,334
2174624,12500,2283885,333
2187124,12500,2283553,333
2199624,12500,2283438,332
2212124,12500,2283628,332
2224624,12500,2283450,332
2237124,12500,2283211,331
2249624,12500,2283575,331
2262124,12500,2283866,331
2274624,12500,2283688,330
2287128,12504,2283569,330
2299632,12504,2283583,330
2312132,12500,2283612,329
2324632,12500,2283770,329
2337136,12504,2283589,329
2349636,12500,2283524,328
2362140,12504,2283703,328
2374640,12500,2283685,328
2387144,12504,2283529,327
2399644,12500,2283597,327
2412144,12500,2283590,327
2424648,12504,2283570,327
2437148,12500,2283570,326
2449652,12504,2283538,326
2462156,12504,2283526,326
2474660,12504,2283575,325
2487160,12500,2283530,325
2499660,12500,2283560,325
2512160,12500,2283741,325
2524660,12500,2283736,324
2537160,12500,2283494,324
2549660,12500,2283521,324
2562160,12500,2283472,324
2574664,12504,2283367,323
2587164,12500,2283394,323
2599664,12500,2283471,323
2612168,12504,2283520,322
2624668,12500,2283416,322
2637172,12504,2283394,322
2649676,12504,2283639,322
2662176,12500,2283585,322
2674676,12500,2283416,321
2687176,12500,2283560,321
2699676,12500,2283553,321
2712176,12500,2283630,321
2724676,12500,2283534,320
2737176,12500,2283498,320
2749676,12500,2283609,320
2762180,12504,2283500,320
2774680,12500,2283495,320
2787180,12500,2283441,319
2799680,12500,2283346,319
2812180,12500,2283503,319
2824680,12500,2283791,319
2837184,12504,2283698,318
2849684,12500,2283319,318
2862184,12500,2283699,318
2874684,12500,2283860,318
2887188,12504,2283601,317
2899692,12504,2283323,317
2912192,12500,2283442,317
2924692,12500,2283817,317
2937196,12504,2283803,316
2949696,12500,2283340,316
2962200,12504,2283542,316
2974704,12504,2283780,316
2987204,12500,2283462,316
2999708,12504,2283154,315
3012212,12504,2283194,315
3024716,12504,2283630,315
3037220,12504,2283700,315
3049720,12500,2283435,315
3062220,12500,2282987,314
3074724,12504,2283602,314
3087224,12500,2283594,314
3099724,12500,2283213,314
3112224,12500,2283191,314
3124728,12504,2283570,313
3137228,12500,2283719,313
3149728,12500,2283324,313
3162228,12500,2283315,313
3174728,12500,2283917,313
3187228,12500,2283662,312
3199728,12500,2283191,312
3212228,12500,2283066,312
3224728,12500,2283460,312
3237228,12500,2283678,312
3249728,12500,2283395,311
3262228,12500,2283172,311
3274728,12500,2283440,311
3287228,12500,2283651,311
3299728,12500,2283187,311
3312228,12500,2283168,311
3324728,12500,2283377,311
3337228,12500,2283417,310
3349732,12504,2283359,310
3362232,12500,2283375,310
3374732,12500,2283515,310
3387236,12504,2283414,310
3399736,12500,2283084,309
3412236,12500,2283217,309
3424736,12500,2283518,309
3437236,12500,2283387,309
3449736,12500,2282954,309
3462236,12500,2283170,309
3474736,12500,2283532,309
3487236,12500,2283654,308
3499740,12504,2283070,308
3512240,12500,2283221,308
3524744,12504,2283643,308
3537244,12500,2283624,308
3549744,12500,2283439,307
3562244,12500,2283377,307
3574748,12504,2283527,307
3587252,12504,2283342,307
3599752,12500,2283239,307
3612256,12504,2283632,306
3624760,12504,2283641,307
3637260,12500,2283231,306
3649760,12500,2283139,306
3662260,12500,2283253,306
3674764,12504,2283442,306
3687268,12504,2283552,306
3699768,12500,2283258,306
3712268,12500,2283403,305
3724772,12504,2283858,305
3737272,12500,2283675,305
3749776,12504,2283068,305
3762276,12500,2283042,305
3774776,12500,2283482,305
3787276,12500,2283686,305
3799776,12500,2283419,305
3812280,12504,2283470,305
3824780,12500,2283356,305
3837280,12500,2283113,305
3849784,12504,2283132,304
3862284,12500,2283496,304
3874788,12504,2283647,304
3887288,12500,2283353,304
3899788,12500,2283016,304
3912288,12500,2283066,304
3924792,12504,2283443,304
3937292,12500,2283229,304
3949792,12500,2283188,303
3962292,12500,2283539,303
3974792,12500,2283628,303
3987292,12500,2283484,303
3999796,12504,2283212,303
4012296,12500,2283120,303
4024796,12500,2283491,303
4037296,12500,2283378,303
4049796,12500,2283052,302
4062296,12500,2283123,302
4074796,12500,2283448,302
4087296,12500,2283502,302
4099796,12500,2283288,302
4112300,12504,2282873,302
4124804,12504,2283207,302
4137304,12500,2283548,302
4149804,12500,2283411,301
4162304,12500,2283290,301
4174808,12504,2283437,301
4187308,12500,2283475,301
4199812,12504,2283137,301
4212316,12504,2282944,301
4224816,12500,2282915,301
4237320,12504,2283710,301
4249824,12504,2283429,300
4262328,12504,2283079,300
4274832,12504,2283162,300
4287332,12500,2283398,300
4299836,12504,2283341,300
4312336,12500,2282969,300
4324836,12500,2282886,300
4337336,12500,2283471,300
4349840,12504,2283341,299
4362340,12500,2283190,299
4374844,12504,2283174,299
4387344,12500,2283560,299
4399844,12500,2283585,299
4412344,12500,2283052,299
4424848,12504,2282919,299
4437348,12500,2283376,299
4449848,12500,2283302,299
4462348,12500,2282955,298
4474848,12500,2282929,299
4487348,12500,2283285,299
4499852,12504,2283193,299
4512356,12504,2282936,299
4524856,12500,2282966,299
4537356,12500,2283245,299
4549856,12500,2283288,298
4562360,12504,2282853,298
4574860,12500,2282937,298
4587364,12504,2283325,298
4599868,12504,2283368,298
4612368,12500,2282860,298
4624868,12500,2282752,298
4637372,12504,2283249,298
4649872,12500,2283611,298
4662376,12504,2282955,297
4674876,12500,2283035,298
4687376,12500,2283508,298
4699876,12500,2283592,298
4712376,12500,2282860,298
4724876,12500,2282446,298
4737376,12500,2282952,298
4749880,12504,2283444,298
4762380,12500,2282853,297
4774880,12500,2282821,297
4787380,12500,2283360,297
4799880,12500,2283357,297
4812380,12500,2282812,297
4824880,12500,2282560,297
4837380,12500,2283262,297
4849884,12504,2283873,297
4862388,12504,2283495,297
4874888,12500,2282924,297
4887388,12500,2283590,297
4899892,12504,2283487,297
4912396,12504,2283022,297
4924900,12504,2282804,297
4937400,12500,2283206,297
4949900,12500,2283612,297
4962400,12500,2283234,297
4974900,12500,2283096,297
4987404,12504,2283304,297
4999904,12500,2283120,297
5012408,12504,2282939,297
5024908,12500,2283048,297
5037412,12504,2283413,297
5049912,12500,2283577,297
5062412,12500,2283304,296
5074912,12500,2282981,297
5087412,12500,2283403,297
5099912,12500,2283281,296
5112412,12500,2282924,296
5124912,12500,2282834,296
5137412,12500,2283256,296
5149912,12500,2283494,296
5162412,12500,2283047,296
5174912,12500,2282691,296
5187412,12500,2283357,296
5199912,12500,2283163,296
5212412,12500,2282909,296
5224912,12500,2282953,296
5237412,12500,2283176,296
5249912,12500,2283331,296
5262412,12500,2282928,296
5274916,12504,2282777,296
5287416,12500,2283121,296
5299916,12500,2284593,295
5312416,12500,2291446,296
5324916,12500,2299167,296
5337416,12500,2302865,296
5349916,12500,2304363,296
5362416,12500,2304750,296
5374916,12500,2304555,296
5387416,12500,2304781,296
5399916,12500,2308414,296
5412420,12504,2311831,296
5424920,12500,2313562,296
5437420,12500,2311346,296
5449924,12504,2306391,296
5462428,12504,2302915,296
5474928,12500,2304820,296
5487428,12500,2310910,296
5499932,12504,2315521,296
5512436,12504,2309015,296
5524936,12500,2304020,296
5537436,12500,2303920,296
5549936,12500,2308723,296
5562436,12500,2313957,296
5574936,12500,2314771,296
5587436,12500,2310684,296
5599936,12500,2305591,296
5612440,12504,2307458,295
5624940,12500,2312712,295
5637440,12500,2314839,295
5649940,12500,2312028,295
5662440,12500,2306873,295
5674940,12500,2304200,295
5687440,12500,2306072,295
5699944,12504,2311073,295
5712444,12500,2314561,295
5724948,12504,2308561,295
5737448,12500,2304626,295
5749948,12500,2305119,295
5762448,12500,2309612,295
5774948,12500,2313834,295
5787448,12500,2313829,295
5799948,12500,2309741,295
5812448,12500,2305431,295
5824948,12500,2308377,295
5837448,12500,2312757,295
5849948,12500,2313907,295
5862448,12500,2310906,295
5874948,12500,2306593,295
5887448,12500,2304769,295
5899952,12504,2307035,295
5912456,12504,2311369,295
5924956,12500,2312173,295
5937456,12500,2308085,295
5949956,12500,2305284,295
