Times (us),interval (us),strain (raw),sensorValue0 (raw)
65820,65820,2277557,425
78320,12500,2278572,422
90824,12504,2277643,421
103324,12500,2276317,420
115824,12500,2276856,419
128324,12500,2278448,418
140824,12500,2278355,418
153324,12500,2276594,416
165824,12500,2275812,415
178324,12500,2278884,415
190824,12500,2277893,414
203324,12500,2275881,413
215824,12500,2276089,412
228324,12500,2278304,412
240828,12504,2279219,411
253328,12500,2277519,410
265828,12500,2276024,409
278332,12504,2278142,409
290836,12504,2278428,408
303336,12500,2277696,407
315836,12500,2277228,406
328336,12500,2277213,406
340836,12500,2277361,406
353336,12500,2277469,404
365836,12500,2277306,403
378340,12504,2277307,403
390844,12504,2277849,403
403344,12500,2277513,402
415844,12500,2277068,401
428348,12504,2277319,400
440848,12500,2277755,400
453348,12500,2277543,399
465848,12500,2277495,398
478348,12500,2278036,398
490848,12500,2277066,397
503348,12500,2276389,396
515848,12500,2277394,395
528352,12504,2278390,395
540852,12500,2277622,395
553352,12500,2276354,394
565856,12504,2277157,393
578356,12500,2278769,393
590860,12504,2278336,392
603360,12500,2276241,391
615860,12500,2278056,390
628364,12504,2278746,390
640864,12500,2277256,390
653364,12500,2275958,389
665864,12500,2276967,388
678368,12504,2278492,388
690868,12500,2277952,388
703368,12500,2276890,387
715872,12504,2278170,386
728372,12500,2278081,385
740876,12504,2276716,385
753380,12504,2276474,384
765880,12500,2278028,383
778380,12500,2278622,383
790880,12500,2276736,383
803380,12500,2275639,382
815880,12500,2279705,381
828380,12500,2278041,381
840880,12500,2275220,380
853380,12500,2275929,380
865880,12500,2278870,379
878380,12500,2279238,378
890884,12504,2276594,378
903384,12500,2275465,377
915888,12504,2279412,376
928388,12500,2277857,376
940892,12504,2275343,376
953392,12500,2276189,375
965896,12504,2279037,374
978396,12500,2278858,374
990896,12500,2275690,374
1003396,12500,2275009,373
1015896,12500,2278240,372
1028396,12500,2277960,372
1040896,12500,2275231,372
1053400,12504,2276476,371
1065900,12500,2279450,370
1078404,12504,2278811,369
1090904,12500,2275830,369
1103408,12504,2275679,369
1115908,12500,2278580,368
1128408,12500,2277091,367
1140908,12500,2275536,367
1153412,12504,2277378,367
1165916,12504,2279251,366
1178416,12500,2277931,365
1190916,12500,2275878,365
1203420,12504,2276603,365
1215920,12500,2278338,364
1228420,12500,2278129,363
1240920,12500,2276575,363
1253420,12500,2278389,363
1265920,12500,2278811,362
1278420,12500,2277214,361
1290920,12500,2276244,361
1303420,12500,2277320,361
1315924,12504,2278495,360
1328428,12504,2277706,360
1340928,12500,2276580,360
1353432,12504,2278159,359
1365932,12500,2278464,358
1378432,12500,2277126,358
1390932,12500,2276331,358
1403436,12504,2277289,357
1415936,12500,2278435,356
1428436,12500,2278130,356
1440936,12500,2276895,356
1453436,12500,2277777,355
1465940,12504,2278253,354
1478444,12504,2277510,354
1490948,12504,2276798,354
1503448,12500,2276996,354
1515948,12500,2277739,353
1528452,12504,2277828,352
1540956,12504,2277146,352
1553456,12500,2277455,352
1565956,12500,2277402,351
1578456,12500,2277410,350
1590956,12500,2277826,351
1603460,12504,2277827,350
1615960,12500,2277481,349
1628464,12504,2277149,349
1640964,12500,2277186,349
1653464,12500,-906217,349
1675892,22428,2277136,348
1688396,12504,2277188,348
1700896,12500,2277590,347
1713396,12500,2277580,346
1725896,12500,2277167,346
1738396,12500,2277022,346
1750896,12500,2277676,345
1763396,12500,2277803,345
1775896,12500,2276848,345
1788396,12500,2277871,345
1800896,12500,2278515,344
1813400,12504,2277579,343
1825904,12504,2276243,343
1838404,12500,2276565,343
1850904,12500,2278085,342
1863404,12500,2278410,341
1875904,12500,2276868,341
1888404,12500,2277480,341
1900908,12504,2278838,341
1913412,12504,2277918,340
1925912,12500,2275974,340
1938412,12500,2276130,340
1950912,12500,2278073,339
1963412,12500,2278517,338
1975912,12500,2276871,338
1988412,12500,2276174,338
2000912,12500,2278806,337
2013412,12500,2277793,337
2025912,12500,2276309,337
2038416,12504,2276728,337
2050920,12504,2278221,336
2063420,12500,2277865,335
2075920,12500,2276161,335
2088424,12504,2276272,336
2100928,12504,2278793,335
2113428,12500,2276745,334
2125928,12500,2275333,334
2138432,12504,2276895,334
2150932,12500,2278989,333
2163432,12500,2278246,333
2175932,12500,2275955,333
2188436,12504,2275783,333
2200936,12500,2278133,332
2213436,12500,2276935,331
2225936,12500,2275266,331
2238436,12500,2276686,331
2250940,12504,2278765,331
2263444,12504,2278177,330
2275944,12500,2276382,330
2288448,12504,2276203,330
2300948,12500,2277854,330
2313452,12504,2277018,329
2325956,12504,2275830,329
2338456,12500,2277089,329
2350956,12500,2278663,328
2363460,12504,2277987,328
2375964,12504,2276344,328
2388464,12500,2276454,328
2400968,12504,2278034,327
2413472,12504,2278287,326
2425976,12504,2276159,326
2438480,12504,2277529,326
2450980,12500,2278880,326
2463480,12500,2277855,325
2475980,12500,2276161,325
2488480,12500,2276615,325
2500980,12500,2278511,325
2513480,12500,2278742,324
2525980,12500,2276029,324
2538480,12500,2277493,324
2550980,12500,2278982,324
2563480,12500,2277944,323
2575984,12504,2276183,323
2588484,12500,2276468,323
2600984,12500,2278041,323
2613488,12504,2278580,322
2625988,12500,2277044,322
2638488,12500,2277153,322
2650988,12500,2278468,322
2663492,12504,2277827,321
2675996,12504,2276423,321
2688496,12500,2276468,321
2700996,12500,2277676,321
2713496,12500,2278088,320
2726000,12504,2276970,320
2738500,12500,2277252,320
2751004,12504,2278392,320
2763504,12500,2277834,319
2776004,12500,2276341,319
2788504,12500,2276462,319
2801004,12500,2277854,319
2813504,12500,2278285,318
2826004,12500,2277133,318
2838504,12500,2276257,318
2851008,12504,2278089,318
2863508,12500,2278057,317
2876008,12500,2276811,317
2888508,12500,2276466,317
2901008,12500,2277429,317
2913512,12504,2278241,316
2926012,12500,2277595,316
2938516,12504,2276678,316
2951016,12500,2277915,316
2963520,12504,2277896,315
2976020,12500,2277256,315
2988520,12500,2276580,315
3001020,12500,2276902,315
3013520,12500,2277795,314
3026020,12500,2277843,314
3038520,12500,2277233,314
3051020,12500,2276695,314
3063524,12504,2277467,313
3076024,12500,2277700,313
3088524,12500,2277179,313
3101024,12500,2276858,313
3113528,12504,2277149,312
3126032,12504,2277448,312
3138536,12504,2277294,312
3151040,12504,2277245,312
3163540,12500,2277340,312
3176040,12500,2276985,311
3188540,12500,2277106,312
3201044,12504,2277454,312
3213548,12504,2277317,311
3226048,12500,2276974,311
3238548,12500,2277058,311
3251048,12500,2277631,311
3263552,12504,2277574,310
3276052,12500,2276789,310
3288552,12500,2276834,310
3301052,12500,2277698,310
3313552,12500,2278018,309
3326052,12500,2277241,309
3338552,12500,2276598,309
3351052,12500,2276895,309
3363552,12500,2277636,309
3376052,12500,2276956,308
3388552,12500,2276571,309
3401056,12504,2277295,309
3413556,12500,2277889,308
3426056,12500,2277468,308
3438556,12500,2276625,308
3451060,12504,2276834,308
3463564,12504,2277588,307
3476068,12504,2276925,307
3488572,12504,2276761,307
3501072,12500,2277146,307
3513572,12500,2277427,307
3526072,12500,2277154,306
3538572,12500,2276872,307
3551072,12500,2277065,307
3563572,12500,2277512,306
3576072,12500,2277492,306
3588572,12500,2276835,306
3601076,12504,2276926,306
3613580,12504,2277301,306
3626084,12504,2277661,305
3638584,12500,2277394,306
3651084,12500,2276836,306
3663584,12500,2276788,305
3676088,12504,2277468,305
3688592,12504,2277184,305
3701096,12504,2276760,305
3713596,12500,2277086,305
3726096,12500,2277639,304
3738600,12504,2277805,304
3751100,12500,2276991,305
3763604,12504,2276449,304
3776104,12500,2277170,304
3788608,12504,2278031,304
3801108,12500,2276449,304
3813608,12500,2276406,304
3826108,12500,2277507,303
3838608,12500,2277988,304
3851108,12500,2277021,304
3863608,12500,2276225,303
3876108,12500,2276856,303
3888608,12500,2278033,303
3901108,12500,2276723,303
3913608,12500,2276129,303
3926108,12500,2277180,302
3938612,12504,2278332,303
3951116,12504,2278004,303
3963620,12504,2276337,302
3976124,12504,2275631,302
3988624,12500,2277392,302
4001128,12504,2278909,302
4013632,12504,2275308,302
4026132,12500,2276281,301
4038632,12500,2278633,302
4051136,12504,2278300,302
4063636,12500,2276148,301
4076136,12500,2275574,301
4088636,12500,2277175,301
4101140,12504,2278263,301
4113640,12500,2275984,301
4126140,12500,2276460,300
4138640,12500,2278014,301
4151140,12500,2278170,301
4163640,12500,2276572,300
4176140,12500,2276050,300
4188640,12500,2277332,300
4201140,12500,2278008,300
4213644,12504,2276969,300
4226148,12504,2277173,299
4238648,12500,2278266,300
4251148,12500,2277313,300
4263648,12500,2275734,300
4276148,12500,2275998,299
4288652,12504,2277977,299
4301156,12504,2278913,299
4313656,12500,2277166,299
4326156,12500,2276636,298
4338656,12500,2278535,299
4351156,12500,2278141,299
4363660,12504,2276502,299
4376160,12500,2276059,298
4388660,12500,2277115,298
4401160,12500,2278033,299
4413664,12504,2277813,298
4426164,12500,2276707,298
4438664,12500,2277111,298
4451168,12504,2278523,298
4463668,12500,2277647,298
4476168,12500,2275605,297
4488668,12500,2275810,297
4501172,12504,2278248,298
4513672,12500,2279106,298
4526172,12500,2276667,297
4538676,12504,2276626,297
4551180,12504,2279084,298
4563680,12500,2278338,297
4576180,12500,2275666,297
4588680,12500,2275412,297
4601180,12500,2277748,297
4613680,12500,2278553,297
4626184,12504,2276713,296
4638684,12500,2277357,297
4651184,12500,2278783,297
4663684,12500,2277226,297
4676188,12504,2275143,296
4688688,12500,2276214,296
4701192,12504,2278815,297
4713692,12500,2278777,296
4726192,12500,2276074,296
4738692,12500,2274878,296
4751192,12500,2279311,296
4763696,12504,2277842,296
4776196,12500,2275143,295
4788696,12500,2276071,296
4801196,12500,2278808,296
4813696,12500,2278481,296
4826196,12500,2275600,295
4838696,12500,2275140,295
4851196,12500,2279467,296
4863696,12500,2276850,296
4876200,12504,2274493,295
4888700,12500,2276473,295
4901200,12500,2279643,296
4913704,12504,2278554,296
4926204,12500,2274648,295
4938708,12504,2274394,295
4951212,12504,2278512,295
4963712,12500,2277013,295
4976216,12504,2273610,295
4988720,12504,2275917,295
5001220,12500,2280068,295
5013720,12500,2279208,295
5026220,12500,2274721,294
5038724,12504,2273931,294
5051224,12500,2278128,295
5063728,12504,2277282,295
5076228,12500,2273877,294
5088728,12500,2275566,294
5101228,12500,2279511,295
5113732,12504,2279334,295
5126232,12500,2275615,294
5138732,12500,2274197,294
5151232,12500,2277093,294
5163732,12500,2279666,294
5176232,12500,2274627,294
5188732,12500,2275253,294
5201232,12500,2278520,294
5213732,12500,2279149,294
5226232,12500,2276190,294
5238732,12500,2274421,294
5251232,12500,2276574,294
5263732,12500,2279411,294
5276232,12500,2275543,294
5288732,12500,2274528,293
5301232,12500,2277163,294
5313732,12500,2278842,294
5326232,12500,2277288,293
5338732,12500,2276082,293
5351232,12500,2277740,294
5363732,12500,2278932,294
5376236,12504,2276843,293
5388736,12500,2276163,293
5401236,12500,2278968,294
5413740,12504,2278512,294
5426244,12504,2275202,293
5438744,12500,2274628,293
5451244,12500,2278419,293
5463744,12500,2280364,294
5476248,12504,2277186,293
5488748,12500,2276056,293
5501248,12500,2279830,293
5513752,12504,2278976,293
5526252,12500,2274535,293
5538752,12500,2273739,293
5551252,12500,2278213,293
5563756,12504,2280787,293
5576256,12500,2277209,293
5588756,12500,2273545,292
5601256,12500,2280542,293
5613756,12500,2279451,293
5626256,12500,2274388,292
5638760,12504,2273877,292
5651260,12500,2278771,293
5663760,12500,2280653,293
5676260,12500,2276244,292
5688760,12500,2273301,292
5701260,12500,2280472,293
5713760,12500,2278443,293
5726260,12500,2274197,292
5738764,12504,2274891,292
5751268,12504,2279034,292
5763768,12500,2279728,293
5776272,12504,2276022,292
5788772,12500,2274042,292
5801272,12500,2277068,292
5813772,12500,2278042,293
5826276,12504,2274625,292
5838776,12500,2275343,292
5851276,12500,2278669,292
5863780,12504,2278884,293
5876280,12500,2276050,292
5888780,12500,2275020,292
5901280,12500,2277350,292
5913780,12500,2277367,292
5926280,12500,2275197,292
5938784,12504,2276147,292
5951284,12500,2278621,292
5963788,12504,2278822,292
5976288,12500,2276675,292
5988788,12500,2275445,292
6001288,12500,2276938,292
6013792,12504,2278667,292
6026292,12500,2276115,292
6038792,12500,2276026,291
6051292,12500,2277560,292
6063792,12500,2278191,292
6076292,12500,2277263,291
6088792,12500,2276222,291
6101296,12504,2276626,292
6113796,12500,2277756,292
6126296,12500,2277113,292
6138800,12504,2276226,291
6151300,12500,2276957,292
6163800,12500,2277715,292
6176300,12500,2277378,292
6188800,12500,2277907,291
6201300,12500,2283036,291
6213800,12500,2287360,292
6226304,12504,2288092,292
6238804,12500,2285690,291
6251308,12504,2284313,291
6263816,12508,2283197,292
6276316,12500,2282569,291
6288816,12500,2281992,291
6301320,12504,2280747,291
6313824,12504,2278957,292
6326324,12500,2277365,291
6338828,12504,2276759,291
6351332,12504,2277788,291
6363832,12500,2278068,292
6376332,12500,2279280,291
6388832,12500,2281760,291
6401332,12500,2283742,291
6413836,12504,2285341,291
6426340,12504,2287005,291
6438840,12500,2290485,291
6451340,12500,2292461,291
6463840,12500,2294780,291
6476340,12500,2297443,291
6488840,12500,2299607,290
6501340,12500,2301131,291
6513840,12500,2303401,291
6526340,12500,2307160,291
6538840,12500,2311214,291
6551340,12500,2318320,291
6563848,12508,2322620,291
6576352,12504,2327775,291
6588852,12500,2332505,290
6601352,12500,2334795,291
6613852,12500,2334752,291
6626352,12500,2332929,291
6638852,12500,2329464,290
6651352,12500,2325098,290
6663856,12504,2327111,291
6676356,12500,2330732,291
6688856,12500,2333870,290
6701356,12500,2334638,290
6713856,12500,2332461,291
6726360,12504,2328572,291
6738860,12500,2325662,290
6751360,12500,2325322,291
6763860,12500,2331832,291
6776364,12504,2334501,291
6788868,12504,2334160,290
6801368,12500,2330908,290
6813868,12500,2327051,291
6826368,12500,2325026,291
6838868,12500,2326183,290
6851368,12500,2329697,290
6863876,12508,2334678,291
6876380,12504,2333025,290
6888884,12504,2329455,290
6901384,12500,2326225,290
6913884,12500,2324974,290
6926384,12500,2326815,290
6938888,12504,2330944,289
6951392,12504,2334620,290
6963892,12500,2335190,291
6976392,12500,2327752,290
6988892,12500,2324635,290
7001396,12504,2324861,290
7013900,12504,2328221,290
7026400,12500,2332685,290
7038900,12500,2335648,289
7051404,12504,2335177,289
7063908,12504,2331089,290
7076408,12500,2323384,290
7088908,12500,2325001,289
7101408,12500,2329789,289
7113908,12500,2334615,290
7126408,12500,2336364,290
7138908,12500,2333979,289
7151412,12504,2328980,289
7163916,12504,2324444,290
7176416,12500,2323429,290
7188916,12500,2331658,289
7201416,12500,2335587,289
7213916,12500,2335740,290
7226416,12500,2332285,290
7238916,12500,2327264,289
7251420,12504,2323884,289
7263920,12500,2324073,290
7276420,12500,2327852,290
7288920,12500,2335715,289
7301420,12500,2334980,289
7313920,12500,2330824,290
7326420,12500,2326055,290
7338920,12500,2323796,289
7351420,12500,2325268,289
7363924,12504,2329534,290
7376424,12500,2334030,290
7388924,12500,2335860,289
7401424,12500,2329025,289
7413928,12504,2324987,290
7426428,12500,2323945,290
7438932,12504,2326850,289
7451432,12500,2331570,289
7463932,12500,2335028,290
7476432,12500,2335167,290
7488932,12500,2331837,289
7501432,12500,2323931,289
7513936,12504,2324646,289
7526436,12500,2328525,290
7538940,12504,2333122,289
7551440,12500,2335836,289
7563940,12500,2334701,290
7576440,12500,2330363,290
7588940,12500,2325343,289
7601440,12500,2323104,289
7613944,12504,2330057,290
7626444,12500,2334827,290
7638948,12504,2336215,289
7651452,12504,2333447,289
7663956,12504,2328512,290
7676456,12500,2324454,290
7688960,12504,2323723,289
7701464,12504,2326744,289
7713964,12500,2335686,289
7726464,12500,2335981,290
7738968,12504,2332151,289
7751468,12500,2326658,289
7763976,12508,2323224,289
7776476,12500,2324008,290
7788976,12500,2328200,289
7801476,12500,2333313,289
7813976,12500,2336177,290
7826476,12500,2330227,290
7838976,12500,2325136,289
7851480,12504,2323103,289
7863984,12504,2325142,290
7876484,12500,2330094,290
