Time (ms), Temperature (C), Shunt Voltage, Bus Voltage (V), Current (mA), Power (mW), Load Voltage (V)
500,24.62,0.01,3.98,-0.50,4.00,3.98
1000,24.62,142.36,0.01,1420.50,16.00,0.15
1500,24.62,144.78,0.02,1450.40,22.00,0.16
2000,24.62,149.19,0.02,1491.00,22.00,0.17
2500,24.62,141.44,0.01,1472.00,30.00,0.15
Error: Temperature sensor disconnected or invalid reading!
3000,-999.00,147.05,0.01,1471.60,22.00,0.16
3500,24.62,154.19,0.02,1540.30,30.00,0.17
4000,24.69,155.41,0.02,1547.90,26.00,0.18
4500,24.69,156.31,0.02,1562.50,32.00,0.18
5000,24.69,152.47,0.02,1518.90,22.00,0.17
5500,24.69,155.70,0.02,1560.90,32.00,0.18
6000,24.69,156.02,0.02,1559.10,32.00,0.17
6500,24.69,157.18,0.02,1623.10,32.00,0.18
7000,24.69,161.18,0.02,1610.70,40.00,0.18
7500,24.69,155.26,0.02,1564.20,32.00,0.18
8000,24.69,163.23,0.02,1631.60,40.00,0.19
8500,24.69,162.65,0.02,1627.60,32.00,0.19
9000,24.69,163.75,0.02,1635.70,32.00,0.19
9500,24.62,161.94,0.02,1614.20,32.00,0.19
10000,24.62,163.57,0.02,1637.80,40.00,0.19
10500,24.62,162.88,0.02,1628.30,32.00,0.19
11000,24.62,162.28,0.02,1623.50,40.00,0.19
11500,24.62,161.72,0.02,1623.10,32.00,0.18
12000,24.62,161.26,0.02,1613.50,32.00,0.19
12500,24.62,163.35,0.02,1636.00,40.00,0.19
13000,24.62,155.39,0.02,1547.30,30.00,0.17
13500,24.62,158.55,0.02,1571.00,40.00,0.18
14000,24.62,160.64,0.02,1606.70,32.00,0.18
14500,24.62,160.59,0.02,1605.60,40.00,0.18
15000,24.62,161.47,0.02,1612.50,40.00,0.18
Error: Temperature sensor disconnected or invalid reading!
15500,-999.00,160.05,0.02,1598.30,32.00,0.18
Error: Temperature sensor disconnected or invalid reading!
16000,-999.00,157.30,0.02,1572.00,32.00,0.18
Error: Temperature sensor disconnected or invalid reading!
16500,-999.00,156.01,0.02,1563.40,32.00,0.18
17000,24.69,162.06,0.02,1631.10,32.00,0.19
17500,24.75,158.52,0.02,1595.10,32.00,0.18
18000,24.69,150.11,0.02,1512.40,22.00,0.17
18500,24.75,158.75,0.02,1588.80,32.00,0.18
19000,24.75,158.26,0.02,1581.20,32.00,0.18
19500,24.75,160.76,0.02,1606.90,40.00,0.18
20000,24.75,158.24,0.02,1583.20,32.00,0.18
20500,24.75,158.13,0.02,1581.50,32.00,0.18
21000,24.81,158.27,0.02,1582.90,32.00,0.18
21500,24.81,158.54,0.02,1585.60,32.00,0.18
22000,24.87,159.45,0.02,1596.60,40.00,0.18
22500,24.87,160.76,0.02,1613.00,40.00,0.18
23000,24.81,158.81,0.02,1583.70,32.00,0.18
23500,24.87,158.29,0.02,1582.70,32.00,0.18
24000,24.81,159.03,0.02,1590.30,32.00,0.18
