Time (ms), Temperature (C), Shunt Voltage, Bus Voltage (V), Current (mA), Power (mW), Load Voltage (V)
500,25.12,-0.02,3.98,0.10,0.00,3.98
1000,25.12,154.16,0.02,1538.60,30.00,0.17
1500,25.12,154.62,0.02,1546.00,30.00,0.17
2000,25.12,152.34,0.02,1523.00,30.00,0.17
2500,25.12,153.29,0.02,1531.30,30.00,0.17
3000,25.12,154.04,0.02,1536.90,30.00,0.17
3500,25.19,153.40,0.02,1536.60,30.00,0.17
4000,25.19,153.68,0.02,1536.80,30.00,0.17
4500,25.19,156.04,0.02,1558.90,32.00,0.18
5000,25.19,154.18,0.02,1542.80,30.00,0.17
5500,25.19,156.51,0.02,1564.90,32.00,0.18
6000,25.25,161.96,0.02,1618.20,40.00,0.19
6500,25.25,157.91,0.02,1576.90,40.00,0.18
7000,25.25,157.59,0.02,1576.70,32.00,0.18
7500,25.25,156.59,0.02,1565.20,32.00,0.18
8000,25.25,157.89,0.02,1578.80,32.00,0.18
8500,25.25,161.23,0.02,1612.40,40.00,0.19
9000,25.31,160.88,0.02,1609.70,40.00,0.18
9500,25.31,160.24,0.02,1606.10,40.00,0.18
10000,25.31,161.71,0.03,1614.90,32.00,0.19
10500,25.31,162.26,0.02,1619.60,40.00,0.18
11000,25.31,160.71,0.02,1603.70,32.00,0.18
11500,25.31,160.27,0.03,1603.10,32.00,0.19
12000,25.37,158.32,0.02,1578.10,32.00,0.18
12500,25.37,161.57,0.02,1622.50,32.00,0.19
13000,25.37,159.60,0.02,1601.80,32.00,0.18
13500,25.37,158.94,0.02,1591.80,26.00,0.18
14000,25.44,159.57,0.02,1583.30,32.00,0.18
14500,25.44,160.00,0.02,1601.70,40.00,0.18
15000,25.44,160.64,0.02,1607.40,40.00,0.18
15500,25.44,160.29,0.02,1603.30,40.00,0.18
16000,25.44,160.05,0.02,1600.90,40.00,0.18
16500,25.50,157.72,0.02,1578.00,32.00,0.18
17000,25.50,159.17,0.02,1591.10,40.00,0.18
17500,25.50,160.16,0.02,1601.40,32.00,0.18
18000,25.50,160.70,0.02,1607.10,40.00,0.18
18500,25.50,161.70,0.02,1616.30,40.00,0.19
19000,25.56,161.48,0.02,1614.80,40.00,0.18
19500,25.56,162.37,0.02,1624.70,40.00,0.19
20000,25.56,164.10,0.02,1618.40,40.00,0.19
20500,25.62,164.00,0.03,1620.30,40.00,0.19
21000,25.62,164.37,0.02,1648.00,40.00,0.19
21500,25.62,161.52,0.02,1639.80,40.00,0.19
22000,25.62,161.22,0.02,1652.00,40.00,0.18
22500,25.62,165.41,0.03,1644.50,40.00,0.19
23000,25.69,162.61,0.02,1626.40,40.00,0.19
23500,25.69,163.44,0.02,1634.50,40.00,0.19
24000,25.69,159.63,0.02,1597.10,40.00,0.18
24500,25.69,159.41,0.02,1592.30,32.00,0.18
