Time (ms), Temperature (C), Shunt Voltage, Bus Voltage (V), Current (mA), Power (mW), Load Voltage (V)
500,23.50,-0.02,3.98,0.10,0.00,3.98
1000,23.50,169.29,0.04,1692.60,62.00,0.21
1500,23.50,166.49,0.03,1664.60,52.00,0.20
2000,23.56,174.33,0.04,1743.50,62.00,0.21
2500,23.56,175.15,0.04,1755.70,62.00,0.21
3000,23.56,174.64,0.04,1746.40,62.00,0.21
3500,23.56,174.36,0.04,1743.10,56.00,0.21
4000,23.56,174.41,0.04,1743.80,62.00,0.21
4500,23.56,175.03,0.04,1750.40,62.00,0.21
5000,23.56,174.96,0.04,1751.70,62.00,0.21
5500,23.56,173.29,0.04,1732.30,56.00,0.21
6000,23.62,174.44,0.04,1744.40,62.00,0.21
6500,23.56,174.51,0.04,1746.50,62.00,0.21
7000,23.62,174.39,0.03,1743.60,62.00,0.21
7500,23.62,172.28,0.04,1723.70,62.00,0.21
8000,23.62,173.94,0.04,1739.50,62.00,0.21
8500,23.69,173.44,0.04,1733.90,56.00,0.21
9000,23.69,174.42,0.04,1744.30,62.00,0.21
9500,23.69,175.45,0.04,1754.00,62.00,0.21
10000,23.69,175.34,0.04,1753.50,62.00,0.21
10500,23.69,175.38,0.04,1754.00,62.00,0.21
11000,23.69,174.81,0.04,1748.10,62.00,0.21
11500,23.69,174.64,0.04,1746.30,62.00,0.21
12000,23.75,175.02,0.04,1750.00,62.00,0.21
12500,23.75,175.40,0.04,1753.50,62.00,0.21
13000,23.75,175.64,0.04,1756.00,56.00,0.21
13500,23.75,176.56,0.04,1765.80,72.00,0.21
14000,23.81,176.07,0.04,1760.70,56.00,0.21
14500,23.81,176.48,0.04,1764.80,62.00,0.21
15000,23.81,176.47,0.04,1763.90,62.00,0.21
15500,23.81,176.70,0.03,1771.80,62.00,0.21
16000,23.81,176.27,0.03,1762.00,62.00,0.21
16500,23.81,176.26,0.03,1763.00,56.00,0.21
17000,23.87,176.52,0.04,1764.00,62.00,0.21
17500,23.87,179.03,0.04,1789.70,56.00,0.22
18000,23.87,175.34,0.03,1755.10,56.00,0.21
18500,23.87,176.23,0.03,1764.00,56.00,0.21
19000,23.87,177.13,0.04,1771.20,56.00,0.21
19500,23.94,177.24,0.03,1772.90,56.00,0.21
20000,23.94,177.01,0.03,1769.10,62.00,0.21
20500,23.94,178.48,0.03,1784.80,56.00,0.21
21000,23.94,177.67,0.03,1776.50,50.00,0.21
21500,23.94,178.21,0.03,1781.50,50.00,0.21
22000,24.00,177.54,0.03,1776.20,56.00,0.21
22500,24.00,178.61,0.03,1786.30,56.00,0.21
23000,24.00,178.88,0.03,1789.30,56.00,0.21
23500,24.00,178.09,0.03,1780.30,56.00,0.21
24000,24.00,176.91,0.03,1768.60,56.00,0.21
24500,24.06,177.58,0.03,1776.70,66.00,0.21
25000,24.06,176.44,0.03,1765.50,50.00,0.21
25500,24.06,178.03,0.03,1779.20,56.00,0.21
26000,24.06,178.23,0.03,1781.40,56.00,0.21
26500,24.06,182.66,0.03,1826.70,66.00,0.21
27000,24.12,182.95,0.04,1829.20,58.00,0.22
27500,24.06,170.29,0.03,1703.00,50.00,0.20
28000,24.12,175.04,0.03,1750.00,50.00,0.20
28500,24.12,175.35,0.03,1753.40,50.00,0.20
29000,24.12,176.30,0.03,1763.20,50.00,0.20
29500,24.12,179.16,0.03,1786.00,56.00,0.21
30000,24.12,180.93,0.03,1808.40,58.00,0.21
30500,24.19,181.01,0.03,1810.90,58.00,0.21
31000,24.19,178.31,0.03,1783.10,56.00,0.21
31500,24.19,178.17,0.04,1781.60,56.00,0.21
32000,24.19,183.35,0.03,1833.30,58.00,0.22
32500,24.25,182.86,0.03,1828.30,58.00,0.21
33000,24.25,183.05,0.04,1830.50,58.00,0.22
33500,24.25,183.75,0.03,1837.50,66.00,0.22
34000,24.25,184.12,0.03,1841.20,52.00,0.22
34500,24.25,183.66,0.03,1836.80,66.00,0.22
35000,24.25,182.87,0.03,1829.10,66.00,0.21
35500,24.31,183.10,0.04,1830.70,58.00,0.22
36000,24.31,183.35,0.03,1834.20,58.00,0.22
36500,24.31,183.61,0.04,1836.00,58.00,0.22
37000,24.31,183.29,0.03,1835.70,66.00,0.22
37500,24.31,183.81,0.03,1837.70,66.00,0.22
38000,24.31,183.80,0.04,1837.50,66.00,0.22
38500,24.31,184.39,0.04,1843.90,66.00,0.22
39000,24.31,185.15,0.03,1850.70,66.00,0.22
39500,24.37,185.14,0.04,1851.40,66.00,0.22
40000,24.37,186.28,0.03,1861.50,66.00,0.22
40500,24.37,186.04,0.03,1860.90,58.00,0.22
41000,24.37,186.19,0.03,1862.10,66.00,0.22
41500,24.37,185.90,0.03,1860.10,66.00,0.22
42000,24.37,186.13,0.04,1860.90,66.00,0.22
42500,24.37,185.07,0.03,1850.30,58.00,0.22
43000,24.44,187.18,0.04,1872.80,58.00,0.22
43500,24.44,188.00,0.04,1880.20,58.00,0.22
44000,24.44,188.60,0.04,1886.70,68.00,0.22
44500,24.44,188.81,0.04,1888.20,68.00,0.22
45000,24.44,189.22,0.04,1891.40,68.00,0.23
